index;lat;long;time;100m_ucomponent_wind;100m_vcomponent_wind;velocita_vento
62;21,76000023;159,3200073;03/01/2019 14:00;-1,4872191;-0,764341;1,672135705
63;21,76000023;159,3200073;03/01/2019 15:00;-1,0628045;-0,914293;1,401957594
64;21,76000023;159,3200073;03/01/2019 16:00;-0,7444935;-0,86283493;1,139629189
65;21,76000023;159,3200073;03/01/2019 17:00;-0,21504688;-1,0087668;1,031433768
66;21,76000023;159,3200073;03/01/2019 18:00;-0,2129035;-0,664641;0,697907988
67;21,76000023;159,3200073;03/01/2019 19:00;-0,08375716;-0,06925525;0,108680962
68;21,76000023;159,3200073;03/01/2019 20:00;0,5062437;-0,02583751;0,506902615
69;21,76000023;159,3200073;03/01/2019 21:00;1,328815;-0,4459443;1,401647467
70;21,76000023;159,3200073;03/01/2019 22:00;2,157281;-0,26021287;2,172917866
71;21,76000023;159,3200073;03/01/2019 23:00;2,8426676;-0,43267778;2,875407649
72;21,76000023;159,3200073;04/01/2019 00:00;3,9112062;-0,7772055;3,987678815
73;21,76000023;159,3200073;04/01/2019 01:00;4,888646;-1,0554007;5,001272873
74;21,76000023;159,3200073;04/01/2019 02:00;5,5943966;-1,087562;5,699128391
75;21,76000023;159,3200073;04/01/2019 03:00;6,130274;-1,1788195;6,24258558
76;21,76000023;159,3200073;04/01/2019 04:00;6,8354874;-1,9699872;7,113700694
77;21,76000023;159,3200073;04/01/2019 05:00;7,1854153;-3,0594509;7,809637177
78;21,76000023;159,3200073;04/01/2019 06:00;6,9190845;-3,8120248;7,899700209
79;21,76000023;159,3200073;04/01/2019 07:00;6,3976765;-4,1022806;7,599932284
80;21,76000023;159,3200073;04/01/2019 08:00;6,1184845;-4,316555;7,4878902
81;21,76000023;159,3200073;04/01/2019 09:00;5,8762674;-5,5266237;8,066851187
82;21,76000023;159,3200073;04/01/2019 10:00;5,7696285;-7,5262513;9,483304891
83;21,76000023;159,3200073;04/01/2019 11:00;4,3918886;-8,922855;9,94515092
84;21,76000023;159,3200073;04/01/2019 12:00;3,019507;-10,081466;10,52394314
85;21,76000023;159,3200073;04/01/2019 13:00;2,0795789;-10,617755;10,81949027
86;21,76000023;159,3200073;04/01/2019 14:00;2,1760364;-11,070024;11,2818689
87;21,76000023;159,3200073;04/01/2019 15:00;2,4847016;-11,322087;11,5915226
88;21,76000023;159,3200073;04/01/2019 16:00;2,8260555;-11,154447;11,50687958
89;21,76000023;159,3200073;04/01/2019 17:00;3,0077176;-10,717053;11,13110912
90;21,76000023;159,3200073;04/01/2019 18:00;3,2092075;-10,230211;10,72176431
91;21,76000023;159,3200073;04/01/2019 19:00;3,1636581;-10,107999;10,5915238
92;21,76000023;159,3200073;04/01/2019 20:00;2,8673182;-9,842266;10,25142496
93;21,76000023;159,3200073;04/01/2019 21:00;2,688335;-9,624776;9,993170574
94;21,76000023;159,3200073;04/01/2019 22:00;3,7616968;-9,045069;9,796103104
95;21,76000023;159,3200073;04/01/2019 23:00;3,6502342;-9,28065;9,972696433
96;21,76000023;159,3200073;05/01/2019 00:00;3,2177815;-9,542362;10,07029246
97;21,76000023;159,3200073;05/01/2019 01:00;2,8121228;-10,303781;10,68063376
98;21,76000023;159,3200073;05/01/2019 02:00;2,2773175;-10,812331;11,0495555
99;21,76000023;159,3200073;05/01/2019 03:00;1,6889243;-10,973137;11,10235114
100;21,76000023;159,3200073;05/01/2019 04:00;0,9896045;-10,948213;10,99284699
101;21,76000023;159,3200073;05/01/2019 05:00;-0,048389196;-11,00168;11,00178642
102;21,76000023;159,3200073;05/01/2019 06:00;-1,3880818;-10,907207;10,99517784
103;21,76000023;159,3200073;05/01/2019 07:00;-2,5048497;-10,803888;11,09045842
104;21,76000023;159,3200073;05/01/2019 08:00;-3,43674;-10,662379;11,20256702
105;21,76000023;159,3200073;05/01/2019 09:00;-4,3193293;-10,15021;11,03101848
106;21,76000023;159,3200073;05/01/2019 10:00;-5,2121005;-8,97954;10,38258784
107;21,76000023;159,3200073;05/01/2019 11:00;-5,272119;-8,143748;9,701333426
108;21,76000023;159,3200073;05/01/2019 12:00;-5,3037357;-7,1045365;8,865892581
109;21,76000023;159,3200073;05/01/2019 13:00;-5,3557158;-6,4030185;8,347594722
110;21,76000023;159,3200073;05/01/2019 14:00;-5,4082317;-5,913765;8,013837196
111;21,76000023;159,3200073;05/01/2019 15:00;-5,244253;-5,4297376;7,548790627
112;21,76000023;159,3200073;05/01/2019 16:00;-5,0116825;-5,491648;7,434726574
113;21,76000023;159,3200073;05/01/2019 17:00;-4,6274586;-5,688234;7,332760676
114;21,76000023;159,3200073;05/01/2019 18:00;-4,6815825;-5,665319;7,349357392
115;21,76000023;159,3200073;05/01/2019 19:00;-4,713199;-5,433758;7,193050175
116;21,76000023;159,3200073;05/01/2019 20:00;-4,6033444;-5,4566727;7,139051521
117;21,76000023;159,3200073;05/01/2019 21:00;-4,6906924;-5,162799;6,975463333
118;21,76000023;159,3200073;05/01/2019 22:00;-4,6638985;-3,340862;5,737012125
119;21,76000023;159,3200073;05/01/2019 23:00;-4,4908104;-2,4536126;5,117381444
120;21,76000023;159,3200073;06/01/2019 00:00;-4,064788;-1,9607408;4,512981938
121;21,76000023;159,3200073;06/01/2019 01:00;-3,397085;-1,9325997;3,908340837
122;21,76000023;159,3200073;06/01/2019 02:00;-2,7068753;-2,3812497;3,605207903
123;21,76000023;159,3200073;06/01/2019 03:00;-2,389636;-2,5798457;3,516527271
124;21,76000023;159,3200073;06/01/2019 04:00;-1,9507529;-2,5907;3,243017633
125;21,76000023;159,3200073;06/01/2019 05:00;-1,4765017;-2,8729153;3,230123773
126;21,76000023;159,3200073;06/01/2019 06:00;-1,2776911;-3,2045786;3,449901238
127;21,76000023;159,3200073;06/01/2019 07:00;-1,2026684;-3,2962382;3,508788616
128;21,76000023;159,3200073;06/01/2019 08:00;-1,2717965;-3,0329177;3,288777297
129;21,76000023;159,3200073;06/01/2019 09:00;-1,2985904;-2,719747;3,013861439
130;21,76000023;159,3200073;06/01/2019 10:00;-1,2755477;-2,0757174;2,436313744
131;21,76000023;159,3200073;06/01/2019 11:00;-0,9315145;-2,3322036;2,511352802
132;21,76000023;159,3200073;06/01/2019 12:00;-0,8993621;-2,4101949;2,572526315
133;21,76000023;159,3200073;06/01/2019 13:00;-1,2412515;-2,1319997;2,467007906
134;21,76000023;159,3200073;06/01/2019 14:00;-1,6281548;-1,8349098;2,453116798
135;21,76000023;159,3200073;06/01/2019 15:00;-1,8725147;-1,838126;2,623931877
136;21,76000023;159,3200073;06/01/2019 16:00;-2,014522;-1,9217453;2,784134315
137;21,76000023;159,3200073;06/01/2019 17:00;-2,120626;-1,6761135;2,703037384
138;21,76000023;159,3200073;06/01/2019 18:00;-2,2267294;-1,5185231;2,695224708
139;21,76000023;159,3200073;06/01/2019 19:00;-1,9035957;-1,7030486;2,554222215
140;21,76000023;159,3200073;06/01/2019 20:00;-1,666738;-2,0680792;2,656118811
141;21,76000023;159,3200073;06/01/2019 21:00;-1,4909704;-2,192302;2,651260227
142;21,76000023;159,3200073;06/01/2019 22:00;-1,3312788;-0,72574747;1,516249529
143;21,76000023;159,3200073;06/01/2019 23:00;-1,0322595;-0,50785476;1,150424327
144;21,76000023;159,3200073;07/01/2019 00:00;-0,7225225;-0,4953923;0,876043546
145;21,76000023;159,3200073;07/01/2019 01:00;-0,27560115;-0,46162292;0,537635298
146;21,76000023;159,3200073;07/01/2019 02:00;0,104335785;-0,46001488;0,471698681
147;21,76000023;159,3200073;07/01/2019 03:00;0,38138437;-0,113477014;0,397908369
148;21,76000023;159,3200073;07/01/2019 04:00;0,80526304;0,10722981;0,812371095
149;21,76000023;159,3200073;07/01/2019 05:00;1,145545;-0,06402904;1,147333023
150;21,76000023;159,3200073;07/01/2019 06:00;1,1557264;-0,18664393;1,170700418
