index,lat,long,time,significant_wave_height,energy_wave_period,mean_wave_direction
70,41.0,6.0,2019-01-03 22:00:00,1.3673959,6.5208716,341.17868
71,41.0,6.0,2019-01-03 23:00:00,1.3321054,6.5077977,339.51013
72,41.0,6.0,2019-01-04 00:00:00,1.3129208,6.5148373,337.6879
73,41.0,6.0,2019-01-04 01:00:00,1.306289,6.546642,335.86566
74,41.0,6.0,2019-01-04 02:00:00,1.3094864,6.592903,334.2136
75,41.0,6.0,2019-01-04 03:00:00,1.3150523,6.655632,332.70422
76,41.0,6.0,2019-01-04 04:00:00,1.3221579,6.706167,331.44733
77,41.0,6.0,2019-01-04 05:00:00,1.3306844,6.72251,330.47034
78,41.0,6.0,2019-01-04 06:00:00,1.5346112,7.183235,329.77325
79,41.0,6.0,2019-01-04 07:00:00,1.5240715,7.1661386,329.47687
80,41.0,6.0,2019-01-04 08:00:00,1.5077288,7.1594763,329.36713
81,41.0,6.0,2019-01-04 09:00:00,1.4847546,7.1496706,329.31223
82,41.0,6.0,2019-01-04 10:00:00,1.4540827,7.144014,329.22443
83,41.0,6.0,2019-01-04 11:00:00,1.4187922,7.1124606,329.20245
84,41.0,6.0,2019-01-04 12:00:00,1.3795936,7.0518684,329.33417
85,41.0,6.0,2019-01-04 13:00:00,1.3371978,6.9726715,329.59766
86,41.0,6.0,2019-01-04 14:00:00,1.292907,6.877887,329.87207
87,41.0,6.0,2019-01-04 15:00:00,1.2492085,6.7649994,330.26724
88,41.0,6.0,2019-01-04 16:00:00,1.2074046,6.630616,330.89294
89,41.0,6.0,2019-01-04 17:00:00,1.1664298,6.489947,331.66687
90,41.0,6.0,2019-01-04 18:00:00,1.1255734,6.3549347,332.51758
91,41.0,6.0,2019-01-04 19:00:00,1.0834143,6.2347565,333.25854
92,41.0,6.0,2019-01-04 20:00:00,1.0411367,6.122372,333.93915
93,41.0,6.0,2019-01-04 21:00:00,1.0001619,6.007348,334.58133
94,41.0,6.0,2019-01-04 22:00:00,0.96439767,5.860645,335.1686
95,41.0,6.0,2019-01-04 23:00:00,0.9351468,5.689303,335.53635
96,41.0,6.0,2019-01-05 00:00:00,0.91276455,5.5136867,335.1796
97,41.0,6.0,2019-01-05 01:00:00,0.93633103,5.217515,332.11145
98,41.0,6.0,2019-01-05 02:00:00,1.1076913,4.8216553,326.33737
99,41.0,6.0,2019-01-05 03:00:00,1.3390925,4.7572923,324.334
100,41.0,6.0,2019-01-05 04:00:00,1.4668725,4.976781,323.94983
101,41.0,6.0,2019-01-05 05:00:00,1.668786,5.255479,322.51178
102,41.0,6.0,2019-01-05 06:00:00,2.0233488,5.5666103,321.1451
103,41.0,6.0,2019-01-05 07:00:00,2.3975701,5.9149513,321.2055
104,41.0,6.0,2019-01-05 08:00:00,2.6961179,6.253236,321.72144
105,41.0,6.0,2019-01-05 09:00:00,2.8927026,6.5330653,322.16602
106,41.0,6.0,2019-01-05 10:00:00,3.0174036,6.743377,322.33615
107,41.0,6.0,2019-01-05 11:00:00,3.0788658,6.8987546,322.5063
108,41.0,6.0,2019-01-05 12:00:00,3.088458,7.004979,322.39105
109,41.0,6.0,2019-01-05 13:00:00,3.0573125,7.0765076,322.6106
110,41.0,6.0,2019-01-05 14:00:00,3.0255747,7.1173635,323.05518
111,41.0,6.0,2019-01-05 15:00:00,3.0271144,7.131317,323.5876
112,41.0,6.0,2019-01-05 16:00:00,3.0369434,7.1414995,323.79614
113,41.0,6.0,2019-01-05 17:00:00,3.1066957,7.1467795,324.05957
114,41.0,6.0,2019-01-05 18:00:00,3.233173,7.1770754,324.32855
115,41.0,6.0,2019-01-05 19:00:00,3.4002697,7.249233,324.59747
116,41.0,6.0,2019-01-05 20:00:00,3.5606163,7.3700395,324.60846
117,41.0,6.0,2019-01-05 21:00:00,3.7375424,7.526674,324.581
118,41.0,6.0,2019-01-05 22:00:00,3.8983629,7.700153,324.9817
119,41.0,6.0,2019-01-05 23:00:00,4.011932,7.8799176,325.5964
120,41.0,6.0,2019-01-06 00:00:00,4.1206455,8.053271,326.20566
121,41.0,6.0,2019-01-06 01:00:00,4.2475963,8.221219,326.7216
122,41.0,6.0,2019-01-06 02:00:00,4.363652,8.380241,327.02344
123,41.0,6.0,2019-01-06 03:00:00,4.491906,8.506831,327.3418
124,41.0,6.0,2019-01-06 04:00:00,4.5917377,8.608278,327.57233
125,41.0,6.0,2019-01-06 05:00:00,4.6317654,8.680059,327.55035
126,41.0,6.0,2019-01-06 06:00:00,4.637805,8.709726,327.51196
127,41.0,6.0,2019-01-06 07:00:00,4.6350813,8.7013035,327.5833
128,41.0,6.0,2019-01-06 08:00:00,4.6708455,8.661077,327.84674
129,41.0,6.0,2019-01-06 09:00:00,4.7286363,8.620221,327.94556
130,41.0,6.0,2019-01-06 10:00:00,4.813073,8.587285,328.07727
131,41.0,6.0,2019-01-06 11:00:00,4.8246784,8.586531,328.09375
132,41.0,6.0,2019-01-06 12:00:00,4.7743483,8.601742,328.08826
133,41.0,6.0,2019-01-06 13:00:00,4.7166758,8.608782,328.3078
134,41.0,6.0,2019-01-06 14:00:00,4.5905533,8.626507,328.48346
135,41.0,6.0,2019-01-06 15:00:00,4.4428782,8.634174,328.67004
136,41.0,6.0,2019-01-06 16:00:00,4.2605047,8.649385,328.5054
137,41.0,6.0,2019-01-06 17:00:00,4.0801444,8.641592,328.21448
138,41.0,6.0,2019-01-06 18:00:00,4.210411,8.8618355,328.07178
139,41.0,6.0,2019-01-06 19:00:00,3.9951155,8.745554,327.94556
140,41.0,6.0,2019-01-06 20:00:00,3.8183079,8.61381,327.8687
141,41.0,6.0,2019-01-06 21:00:00,3.6949096,8.468113,327.90714
142,41.0,6.0,2019-01-06 22:00:00,3.6181705,8.334106,327.8742
143,41.0,6.0,2019-01-06 23:00:00,3.5685508,8.219082,328.06628
144,41.0,6.0,2019-01-07 00:00:00,3.5001016,8.156101,328.11572
145,41.0,6.0,2019-01-07 01:00:00,3.4142437,8.1250515,327.92358
146,41.0,6.0,2019-01-07 02:00:00,3.3009114,8.125302,327.40765
147,41.0,6.0,2019-01-07 03:00:00,3.175974,8.130708,326.6667
148,41.0,6.0,2019-01-07 04:00:00,3.06051,8.1061945,325.92023
