"Tempo, CF wec, produzione WEC, CF eolico, produzione EOLICO, CF FV, produzione FV, consumo elettrico, produzione diesel"
2019-11-23 00:00:00,0.0029024619032505224,0.00022317377880859402,0.348635651,5.2295347649999995,0.0,0.0,0.114326412,0.11410323822119141
2019-11-23 01:00:00,0.0029024619032505224,0.00022317377880859402,0.373014259,5.595213885000001,0.0,0.0,0.167056059,0.1668328852211914
2019-11-23 02:00:00,0.007306290594495794,0.000561789451644897,0.390259149,5.853887235,0.0,0.0,0.108310812,0.10774902254835511
2019-11-23 03:00:00,0.007306290594495794,0.000561789451644897,0.411334658,6.17001987,0.0,0.0,0.145590523,0.1450287335483551
2019-11-23 04:00:00,0.007306290594495794,0.000561789451644897,0.422650138,6.33975207,0.0,0.0,0.181039171,0.1804773815483551
2019-11-23 05:00:00,0.007306290594495794,0.000561789451644897,0.443369834,6.65054751,0.0,0.0,0.177831794,0.1772700045483551
2019-11-23 06:00:00,0.007306290594495794,0.000561789451644897,0.48090231,7.21353465,0.0,0.0,0.158811035,0.1582492455483551
2019-11-23 07:00:00,0.007306290594495794,0.000561789451644897,0.575574314,8.63361471,0.27649,1.10596,0.209387295,0.2088255055483551
2019-11-23 08:00:00,0.058414836965497874,0.00449158691436332,0.564103584,8.461553760000001,0.48535,1.9414,0.228279178,0.22378759108563667
2019-11-23 09:00:00,0.058414836965497874,0.00449158691436332,0.487456836,7.31185254,0.59725,2.389,0.166853796,0.16236220908563667
2019-11-23 10:00:00,0.09210020336588408,0.007081695160644531,0.371773897,5.576608455000001,0.56194,2.24776,0.176986143,0.1699044478393555
2019-11-23 11:00:00,0.09210020336588408,0.007081695160644531,0.372795587,5.591933805,0.4407,1.7628,0.169636721,0.16255502583935547
2019-11-23 12:00:00,0.09210020336588408,0.007081695160644531,0.386760381,5.801405715,0.44772,1.79088,0.237621087,0.23053939183935548
2019-11-23 13:00:00,0.09210020336588408,0.007081695160644531,0.482218375,7.233275624999999,0.45009,1.80036,0.171757833,0.16467613783935547
2019-11-23 14:00:00,0.09210020336588408,0.007081695160644531,0.549029846,8.23544769,0.26598,1.06392,0.162679476,0.15559778083935547
2019-11-23 15:00:00,0.11524175201543595,0.00886107660707092,0.581031445,8.715471675,0.01904,0.07616,0.17293883,0.16407775339292907
2019-11-23 16:00:00,0.11524175201543595,0.00886107660707092,0.634358916,9.51538374,0.0,0.0,0.164488732,0.15562765539292908
2019-11-23 17:00:00,0.11524175201543595,0.00886107660707092,0.666591713,9.998875694999999,0.0,0.0,0.209493795,0.2006327183929291
2019-11-23 18:00:00,0.1172809095942033,0.009017869880371092,0.69803261,10.47048915,0.0,0.0,0.23294647,0.2239286001196289
2019-11-23 19:00:00,0.1172809095942033,0.009017869880371092,0.753769942,11.30654913,0.0,0.0,0.241177034,0.23215916411962892
2019-11-23 20:00:00,0.1172809095942033,0.009017869880371092,0.788634601,11.829519015,0.0,0.0,0.195067478,0.1860496081196289
2019-11-23 21:00:00,0.1172809095942033,0.009017869880371092,0.809524508,12.14286762,0.0,0.0,0.20970838,0.2006905101196289
2019-11-23 22:00:00,0.1172809095942033,0.009017869880371092,0.87287001,13.09305015,0.0,0.0,0.193318758,0.18430088811962891
2019-11-23 23:00:00,0.32230238173726855,0.024782216907226602,0.84933301,12.73999515,0.0,0.0,0.15742618,0.1326439630927734
2019-11-24 00:00:00,0.32230238173726855,0.024782216907226602,0.706137305,10.592059575,0.0,0.0,0.162908705,0.1381264880927734
2019-11-24 01:00:00,0.2885466971672785,0.0221867018125,0.6283714,9.425571,0.0,0.0,0.164259344,0.1420726421875
2019-11-24 02:00:00,0.2885466971672785,0.0221867018125,0.85559001,12.83385015,0.0,0.0,0.124891092,0.1027043901875
2019-11-24 03:00:00,0.2885466971672785,0.0221867018125,0.863372023,12.950580345,0.0,0.0,0.165196175,0.1430094731875
2019-11-24 04:00:00,0.2885466971672785,0.0221867018125,0.875617426,13.13426139,0.0,0.0,0.13153949,0.10935278818750001
2019-11-24 05:00:00,0.2885466971672785,0.0221867018125,0.769678314,11.54517471,0.0,0.0,0.184993875,0.1628071731875
2019-11-24 06:00:00,0.2543502424863241,0.019557295375000002,0.780427659,11.706414885,0.0,0.0,0.192045584,0.17248828862499999
2019-11-24 07:00:00,0.2543502424863241,0.019557295375000002,0.900581878,13.50872817,0.02385,0.0954,0.171810975,0.152253679625
2019-11-24 08:00:00,0.2543502424863241,0.019557295375000002,1.060979761,15.914696415,0.03063,0.12252,0.204223218,0.184665922625
2019-11-24 09:00:00,0.43851963541579303,0.0337183010078125,1.32355166,19.8532749,0.05024,0.20096,0.198402622,0.1646843209921875
2019-11-24 10:00:00,0.43851963541579303,0.0337183010078125,1.0,15.0,0.04784,0.19136,0.19804666,0.1643283589921875
2019-11-24 11:00:00,0.43851963541579303,0.0337183010078125,1.0,15.0,0.04784,0.19136,0.177895654,0.14417735299218748
