"significant_wave_height,energy_wave_period,mean_wave_direction,potenza(kW/m)"
"('2019-01-04 12:00:00', '2.6110177', '6.5632133')",21.924627861811512
"('2019-01-04 13:00:00', '2.50478', '6.438072')",19.792063840017697
"('2019-01-04 14:00:00', '2.4182336', '6.32141')",18.113673757094283
"('2019-01-04 15:00:00', '2.3393514', '6.2221737')",16.685112423835825
"('2019-01-04 16:00:00', '2.2716706', '6.1316023')",15.504607385702316
"('2019-01-04 17:00:00', '2.2212048', '6.0538898')",14.63550787734616
"('2019-01-04 18:00:00', '2.2597027', '6.1047664')",15.274525903341706
"('2019-01-04 19:00:00', '2.199804', '6.059294')",14.367661252237836
"('2019-01-04 20:00:00', '2.128468', '6.015313')",13.353298607020449
"('2019-01-04 21:00:00', '2.0386202', '5.970214')",12.15790162250893
"('2019-01-04 22:00:00', '1.97147', '5.8950176')",11.226943359606414
"('2019-01-04 23:00:00', '1.9227729', '5.8163733')",10.536693256600827
"('2019-01-05 00:00:00', '1.929258', '5.7305546')",10.45137316438269
"('2019-01-05 01:00:00', '1.9908074', '5.6793985')",11.029527686577485
"('2019-01-05 02:00:00', '2.0806553', '5.6892757')",12.068501094398657
"('2019-01-05 03:00:00', '2.1571794', '5.7505884')",13.11236085675766
"('2019-01-05 04:00:00', '2.2007473', '5.82448')",13.82272264053145
"('2019-01-05 05:00:00', '2.2166064', '5.8762884')",14.147390718382816
"('2019-01-05 06:00:00', '2.2110646', '5.909274')",14.15575607817099
"('2019-01-05 07:00:00', '2.1495152', '5.9143057')",13.390009642129877
"('2019-01-05 08:00:00', '2.0699255', '5.8830905')",12.351253597304858
"('2019-01-05 09:00:00', '1.9831432', '5.8255982')",11.226509745571505
"('2019-01-05 10:00:00', '1.8591012', '5.7709017')",9.773403273196491
"('2019-01-05 11:00:00', '1.7711399', '5.659644')",8.69943260772376
"('2019-01-05 12:00:00', '1.7176673', '5.522017')",7.983106353005593
"('2019-01-05 13:00:00', '1.677165', '5.393242')",7.4335722937370745
"('2019-01-05 14:00:00', '1.6286447', '5.2998753')",6.888337727599623
"('2019-01-05 15:00:00', '1.5648551', '5.2436876')",6.291890406273104
"('2019-01-05 16:00:00', '1.4768348', '5.203434')",5.560962485992805
"('2019-01-05 17:00:00', '1.3975399', '5.1495757')",4.928286631017544
"('2019-01-05 18:00:00', '1.3540897', '5.0636635')",4.5494174245657755
"('2019-01-05 19:00:00', '1.3419449', '4.969365')",4.3849671600390066
"('2019-01-05 20:00:00', '1.3414143', '4.8967776')",4.317499773216455
"('2019-01-05 21:00:00', '1.3455412', '4.854101')",4.306246527520398
"('2019-01-05 22:00:00', '1.3697128', '4.830713')",4.440852460369687
"('2019-01-05 23:00:00', '1.4492437', '4.842733')",4.983901465928354
"('2019-01-06 00:00:00', '1.5388558', '4.8960323')",5.681149341135891
"('2019-01-06 01:00:00', '1.6226902', '4.963681')",6.404292656870826
"('2019-01-06 02:00:00', '1.7086471', '5.0360823')",7.204330806347544
"('2019-01-06 03:00:00', '1.8236101', '5.1396055')",8.37509694649922
"('2019-01-06 04:00:00', '1.8582758', '5.2380037')",8.863030080569093
"('2019-01-06 05:00:00', '1.7917153', '5.294005')",8.32757267968319
"('2019-01-06 06:00:00', '1.6904889', '5.3024845')",7.425062858948615
"('2019-01-06 07:00:00', '1.5586058', '5.285805')",6.291870763318696
"('2019-01-06 08:00:00', '1.4173489', '5.254403')",5.172172502704295
"('2019-01-06 09:00:00', '1.294368', '5.194768')",4.264594787452874
"('2019-01-06 10:00:00', '1.1990962', '5.0844426')",3.5821806382473307
"('2019-01-06 11:00:00', '1.1184453', '4.9540834')",3.036609114067673
"('2019-01-06 12:00:00', '1.0428646', '4.828756')",2.573280873446803
"('2019-01-06 13:00:00', '0.99558234', '4.651807')",2.259290814170153
"('2019-01-06 14:00:00', '0.98267114', '4.45501')",2.1079541784960885
"('2019-01-06 15:00:00', '0.98155093', '4.308903')",2.034175762600589
"('2019-01-06 16:00:00', '0.9637464', '4.231191')",1.925680567454523
"('2019-01-06 17:00:00', '0.96981883', '4.162797')",1.9185032408872842
"('2019-01-06 18:00:00', '0.96810913', '4.149472')",1.905625475799352
"('2019-01-06 19:00:00', '1.0680385', '4.166151')",2.3286536716765274
"('2019-01-06 20:00:00', '1.2743232', '4.3405848')",3.4538502594460074
"('2019-01-06 21:00:00', '1.5100856', '4.633264')",5.177096486999452
"('2019-01-06 22:00:00', '1.5917977', '4.8961253')",6.0788909043611685
