time;P;G(i);H_sun;T2m;WS10m;Int;capacity factor
20190316:2110;0;0;0;0;0;0;0
20190316:2210;0;0;0;0;0;0;0
20190316:2310;0;0;0;0;0;0;0
20190317:0010;0;0;0;0;0;0;0
20190317:0110;0;0;0;0;0;0;0
20190317:0210;0;0;0;0;0;0;0
20190317:0310;0;0;0;0;0;0;0
20190317:0410;0;0;0;0;0;0;0
20190317:0510;0;0;0;0;0;0;0
20190317:0610;143060;194,58;10,73;0;0;0;0,14306
20190317:0710;392530;462,66;21,34;0;0;0;0,39253
20190317:0810;589500;698,89;31,06;0;0;0;0,5895
20190317:0910;735410;896,71;39,17;0;0;0;0,73541
20190317:1010;808360;1005,1;44,69;0;0;0;0,80836
20190317:1110;832400;1042,11;46,54;0;0;0;0,8324
20190317:1210;806590;1002,1;44,26;0;0;0;0,80659
20190317:1310;718460;872,75;38,42;0;0;0;0,71846
20190317:1410;574550;679,85;30,09;0;0;0;0,57455
20190317:1510;370090;437,94;20,26;0;0;0;0,37009
20190317:1610;118310;168,6;9,58;0;0;0;0,11831
20190317:1710;0;0;0;0;0;0;0
20190317:1810;0;0;0;0;0;0;0
20190317:1910;0;0;0;0;0;0;0
20190317:2010;0;0;0;0;0;0;0
20190317:2110;0;0;0;0;0;0;0
20190317:2210;0;0;0;0;0;0;0
20190317:2310;0;0;0;0;0;0;0
20190318:0010;0;0;0;0;0;0;0
20190318:0110;0;0;0;0;0;0;0
20190318:0210;0;0;0;0;0;0;0
20190318:0310;0;0;0;0;0;0;0
20190318:0410;0;0;0;0;0;0;0
20190318:0510;0;0;0;0;0;0;0
20190318:0610;141140;191,54;11,05;0;0;0;0,14114
20190318:0710;383830;451,98;21,68;0;0;0;0,38383
20190318:0810;581660;688,58;31,42;0;0;0;0,58166
20190318:0910;722310;878,11;39,55;0;0;0;0,72231
20190318:1010;798670;990,37;45,09;0;0;0;0,79867
20190318:1110;818130;1020,35;46,93;0;0;0;0,81813
20190318:1210;792190;980,56;44,62;0;0;0;0,79219
20190318:1310;700150;847,25;38,73;0;0;0;0,70015
20190318:1410;557350;657,76;30,36;0;0;0;0,55735
20190318:1510;355070;419,84;20,49;0;0;0;0,35507
20190318:1610;109470;155,35;9,79;0;0;0;0,10947
20190318:1710;0;0;0;0;0;0;0
20190318:1810;0;0;0;0;0;0;0
20190318:1910;0;0;0;0;0;0;0
20190318:2010;0;0;0;0;0;0;0
20190318:2110;0;0;0;0;0;0;0
20190318:2210;0;0;0;0;0;0;0
20190318:2310;0;0;0;0;0;0;0
20190319:0010;0;0;0;0;0;0;0
20190319:0110;0;0;0;0;0;0;0
20190319:0210;0;0;0;0;0;0;0
20190319:0310;0;0;0;0;0;0;0
20190319:0410;0;0;0;0;0;0;0
20190319:0510;0;0;0;0;0;0;0
20190319:0610;138610;187,13;11,38;0;0;0;0,13861
20190319:0710;355960;418,52;22,02;0;0;0;0,35596
20190319:0810;533980;628,37;31,78;0;0;0;0,53398
20190319:0910;566590;671,21;39,94;0;0;0;0,56659
20190319:1010;757560;931,01;45,49;0;0;0;0,75756
20190319:1110;290630;341,44;47,33;0;0;0;0,29063
20190319:1210;89450;116,39;44,98;0;0;0;0,08945
20190319:1310;74610;99,76;39,04;0;0;0;0,07461
20190319:1410;82010;108,08;30,62;0;0;0;0,08201
20190319:1510;59910;83,13;20,72;0;0;0;0,05991
20190319:1610;27120;44,94;10,01;0;0;0;0,02712
20190319:1710;0;0;0;0;0;0;0
20190319:1810;0;0;0;0;0;0;0
20190319:1910;0;0;0;0;0;0;0
20190319:2010;0;0;0;0;0;0;0
20190319:2110;0;0;0;0;0;0;0
20190319:2210;0;0;0;0;0;0;0
20190319:2310;0;0;0;0;0;0;0
20190320:0010;0;0;0;0;0;0;0
20190320:0110;0;0;0;0;0;0;0
20190320:0210;0;0;0;0;0;0;0
20190320:0310;0;0;0;0;0;0;0
20190320:0410;0;0;0;0;0;0;0
20190320:0510;0;0;0;0;0;0;0
20190320:0610;7860;19,4;11,71;0;0;0;0,00786
20190320:0710;36020;55,42;22,36;0;0;0;0,03602
20190320:0810;221530;262,49;32,14;0;0;0;0,22153
20190320:0910;391000;456,42;40,32;0;0;0;0,391
20190320:1010;137660;169,96;45,89;0;0;0;0,13766
20190320:1110;129340;160,73;47,72;0;0;0;0,12934
20190320:1210;155130;189,36;45,33;0;0;0;0,15513
20190320:1310;71320;96,07;39,34;0;0;0;0,07132
20190320:1410;84490;110,85;30,89;0;0;0;0,08449
20190320:1510;67240;91,45;20,96;0;0;0;0,06724
20190320:1610;28610;46,75;10,22;0;0;0;0,02861
20190320:1710;0;0;0;0;0;0;0
20190320:1810;0;0;0;0;0;0;0
20190320:1910;0;0;0;0;0;0;0
20190320:2010;0;0;0;0;0;0;0
20190320:2110;0;0;0;0;0;0;0
20190320:2210;0;0;0;0;0;0;0
20190320:2310;0;0;0;0;0;0;0
20190321:0010;0;0;0;0;0;0;0
20190321:0110;0;0;0;0;0;0;0
20190321:0210;0;0;0;0;0;0;0
20190321:0310;0;0;0;0;0;0;0
20190321:0410;0;0;0;0;0;0;0
20190321:0510;0;0;0;0;0;0;0
20190321:0610;144970;194,08;12,03;0;0;0;0,14497
20190321:0710;381800;449,12;22,7;0;0;0;0,3818
20190321:0810;571960;676,34;32,5;0;0;0;0,57196
20190321:0910;684700;826,86;40,71;0;0;0;0,6847
20190321:1010;786750;973,19;46,29;0;0;0;0,78675
20190321:1110;810020;1008,48;48,12;0;0;0;0,81002
20190321:1210;788800;975,74;45,69;0;0;0;0,7888
20190321:1310;688030;830,88;39,65;0;0;0;0,68803
20190321:1410;551830;650,93;31,15;0;0;0;0,55183
20190321:1510;351220;415,34;21,19;0;0;0;0,35122
20190321:1610;115920;164,22;10,44;0;0;0;0,11592
20190321:1710;0;0;0;0;0;0;0
20190321:1810;0;0;0;0;0;0;0
20190321:1910;0;0;0;0;0;0;0
20190321:2010;0;0;0;0;0;0;0
20190321:2110;0;0;0;0;0;0;0
20190321:2210;0;0;0;0;0;0;0
20190321:2310;0;0;0;0;0;0;0
20190322:0010;0;0;0;0;0;0;0
20190322:0110;0;0;0;0;0;0;0
20190322:0210;0;0;0;0;0;0;0
20190322:0310;0;0;0;0;0;0;0
20190322:0410;0;0;0;0;0;0;0
20190322:0510;0;0;0;0;0;0;0
20190322:0610;150230;200,03;12,36;0;0;0;0,15023
20190322:0710;391310;460,46;23,04;0;0;0;0,39131
20190322:0810;582570;690,17;32,86;0;0;0;0,58257
20190322:0910;718570;873,65;41,09;0;0;0;0,71857
20190322:1010;797360;989,23;46,7;0;0;0;0,79736
20190322:1110;820390;1024,47;48,51;0;0;0;0,82039
20190322:1210;788930;976,54;46,04;0;0;0;0,78893
20190322:1310;701670;849,85;39,95;0;0;0;0,70167
20190322:1410;563380;665,74;31,41;0;0;0;0,56338
20190322:1510;358330;423,92;21,42;0;0;0;0,35833
20190322:1610;119980;169,82;10,65;0;0;0;0,11998
20190322:1710;0;0;0;0;0;0;0
20190322:1810;0;0;0;0;0;0;0
20190322:1910;0;0;0;0;0;0;0
20190322:2010;0;0;0;0;0;0;0
20190322:2110;0;0;0;0;0;0;0
20190322:2210;0;0;0;0;0;0;0
20190322:2310;0;0;0;0;0;0;0
20190323:0010;0;0;0;0;0;0;0
20190323:0110;0;0;0;0;0;0;0
20190323:0210;0;0;0;0;0;0;0
20190323:0310;0;0;0;0;0;0;0
20190323:0410;0;0;0;0;0;0;0
20190323:0510;0;0;0;0;0;0;0
20190323:0610;144500;191,47;12,69;0;0;0;0,1445
20190323:0710;397700;468,03;23,38;0;0;0;0,3977
20190323:0810;593220;703,86;33,22;0;0;0;0,59322
20190323:0910;730330;890,09;41,48;0;0;0;0,73033
20190323:1010;808630;1005,79;47,1;0;0;0;0,80863
20190323:1110;831390;1040,94;48,9;0;0;0;0,83139
20190323:1210;804000;998,46;46,4;0;0;0;0,804
20190323:1310;715550;868,85;40,25;0;0;0;0,71555
20190323:1410;571780;676,43;31,67;0;0;0;0,57178
20190323:1510;367790;435,4;21,64;0;0;0;0,36779
20190323:1610;124960;177,32;10,86;0;0;0;0,12496
20190323:1710;0;0;0;0;0;0;0
20190323:1810;0;0;0;0;0;0;0
20190323:1910;0;0;0;0;0;0;0
20190323:2010;0;0;0;0;0;0;0
20190323:2110;0;0;0;0;0;0;0
20190323:2210;0;0;0;0;0;0;0
20190323:2310;0;0;0;0;0;0;0
20190324:0010;0;0;0;0;0;0;0
20190324:0110;0;0;0;0;0;0;0
20190324:0210;0;0;0;0;0;0;0
20190324:0310;0;0;0;0;0;0;0
20190324:0410;0;0;0;0;0;0;0
20190324:0510;0;0;0;0;0;0;0
20190324:0610;167210;221,78;13,01;0;0;0;0,16721
20190324:0710;410050;482,88;23,72;0;0;0;0,41005
20190324:0810;603880;717,8;33,58;0;0;0;0,60388
20190324:0910;740180;904,03;41,86;0;0;0;0,74018
20190324:1010;818620;1020,85;47,5;0;0;0;0,81862
20190324:1110;841270;1056,06;49,29;0;0;0;0,84127
20190324:1210;813160;1012,13;46,75;0;0;0;0,81316
20190324:1310;724450;881,31;40,55;0;0;0;0,72445
20190324:1410;576420;682,52;31,92;0;0;0;0,57642
20190324:1510;371090;439,46;21,87;0;0;0;0,37109
20190324:1610;128460;182,67;11,07;0;0;0;0,12846
20190324:1710;0;0;0;0;0;0;0
20190324:1810;0;0;0;0;0;0;0
20190324:1910;0;0;0;0;0;0;0
20190324:2010;0;0;0;0;0;0;0
20190324:2110;0;0;0;0;0;0;0
20190324:2210;0;0;0;0;0;0;0
20190324:2310;0;0;0;0;0;0;0
20190325:0010;0;0;0;0;0;0;0
20190325:0110;0;0;0;0;0;0;0
20190325:0210;0;0;0;0;0;0;0
20190325:0310;0;0;0;0;0;0;0
20190325:0410;0;0;0;0;0;0;0
20190325:0510;0;0;0;0;0;0;0
20190325:0610;170030;224,89;13,34;0;0;0;0,17003
20190325:0710;405690;477,44;24,06;0;0;0;0,40569
20190325:0810;601090;714,04;33,94;0;0;0;0,60109
20190325:0910;736480;898,65;42,25;0;0;0;0,73648
20190325:1010;814160;1013,97;47,9;0;0;0;0,81416
20190325:1110;836110;1047,9;49,69;0;0;0;0,83611
20190325:1210;804090;998,62;47,1;0;0;0;0,80409
20190325:1310;719610;874,42;40,85;0;0;0;0,71961
20190325:1410;572510;677,43;32,18;0;0;0;0,57251
20190325:1510;365510;432,75;22,1;0;0;0;0,36551
20190325:1610;124900;177,24;11,28;0;0;0;0,1249
20190325:1710;0;0;0;0;0;0;0
20190325:1810;0;0;0;0;0;0;0
20190325:1910;0;0;0;0;0;0;0
20190325:2010;0;0;0;0;0;0;0
20190325:2110;0;0;0;0;0;0;0
20190325:2210;0;0;0;0;0;0;0
20190325:2310;0;0;0;0;0;0;0
20190326:0010;0;0;0;0;0;0;0
20190326:0110;0;0;0;0;0;0;0
20190326:0210;0;0;0;0;0;0;0
20190326:0310;0;0;0;0;0;0;0
20190326:0410;0;0;0;0;0;0;0
20190326:0510;1680;9,8;2,59;0;0;0;0,00168
20190326:0610;16590;31,41;13,66;0;0;0;0,01659
20190326:0710;47050;68,36;24,4;0;0;0;0,04705
20190326:0810;36020;55,42;34,29;0;0;0;0,03602
20190326:0910;62350;85,91;42,63;0;0;0;0,06235
20190326:1010;42290;62,81;48,3;0;0;0;0,04229
20190326:1110;43870;64,66;50,08;0;0;0;0,04387
20190326:1210;51840;73,9;47,45;0;0;0;0,05184
20190326:1310;65600;89,6;41,15;0;0;0;0,0656
20190326:1410;120180;150,57;32,43;0;0;0;0,12018
20190326:1510;85730;112,24;22,32;0;0;0;0,08573
20190326:1610;41910;63,03;11,49;0;0;0;0,04191
20190326:1710;0;0;0;0;0;0;0
20190326:1810;0;0;0;0;0;0;0
20190326:1910;0;0;0;0;0;0;0
20190326:2010;0;0;0;0;0;0;0
20190326:2110;0;0;0;0;0;0;0
20190326:2210;0;0;0;0;0;0;0
20190326:2310;0;0;0;0;0;0;0
20190327:0010;0;0;0;0;0;0;0
20190327:0110;0;0;0;0;0;0;0
20190327:0210;0;0;0;0;0;0;0
20190327:0310;0;0;0;0;0;0;0
20190327:0410;0;0;0;0;0;0;0
20190327:0510;0;2,77;2,91;0;0;0;0
20190327:0610;27590;45,26;13,99;0;0;0;0,02759
20190327:0710;56670;79,44;24,73;0;0;0;0,05667
20190327:0810;81190;107,15;34,65;0;0;0;0,08119
20190327:0910;58290;81,29;43,01;0;0;0;0,05829
20190327:1010;58290;81,29;48,7;0;0;0;0,05829
20190327:1110;74610;99,76;50,47;0;0;0;0,07461
20190327:1210;96900;124,7;47,8;0;0;0;0,0969
20190327:1310;212990;253,68;41,44;0;0;0;0,21299
20190327:1410;216180;256,75;32,68;0;0;0;0,21618
20190327:1510;75430;100,69;22,54;0;0;0;0,07543
20190327:1610;11770;24,94;11,69;0;0;0;0,01177
20190327:1710;0;0;0;0;0;0;0
20190327:1810;0;0;0;0;0;0;0
20190327:1910;0;0;0;0;0;0;0
20190327:2010;0;0;0;0;0;0;0
20190327:2110;0;0;0;0;0;0;0
20190327:2210;0;0;0;0;0;0;0
20190327:2310;0;0;0;0;0;0;0
20190328:0010;0;0;0;0;0;0;0
20190328:0110;0;0;0;0;0;0;0
20190328:0210;0;0;0;0;0;0;0
20190328:0310;0;0;0;0;0;0;0
20190328:0410;0;0;0;0;0;0;0
20190328:0510;3190;12,5;3,23;0;0;0;0,00319
20190328:0610;180150;235,63;14,31;0;0;0;0,18015
20190328:0710;413690;486,85;25,07;0;0;0;0,41369
20190328:0810;609100;724,95;35,01;0;0;0;0,6091
20190328:0910;746600;913,62;43,39;0;0;0;0,7466
20190328:1010;823320;1028,45;49,1;0;0;0;0,82332
20190328:1110;849110;1068,44;50,85;0;0;0;0,84911
20190328:1210;816000;1016,85;48,14;0;0;0;0,816
20190328:1310;730590;890,19;41,74;0;0;0;0,73059
20190328:1410;585760;694,69;32,93;0;0;0;0,58576
20190328:1510;377130;447,05;22,76;0;0;0;0,37713
20190328:1610;133250;189,62;11,9;0;0;0;0,13325
20190328:1710;0;0;0;0;0;0;0
20190328:1810;0;0;0;0;0;0;0
20190328:1910;0;0;0;0;0;0;0
20190328:2010;0;0;0;0;0;0;0
20190328:2110;0;0;0;0;0;0;0
20190328:2210;0;0;0;0;0;0;0
20190328:2310;0;0;0;0;0;0;0
20190329:0010;0;0;0;0;0;0;0
20190329:0110;0;0;0;0;0;0;0
20190329:0210;0;0;0;0;0;0;0
20190329:0310;0;0;0;0;0;0;0
20190329:0410;0;0;0;0;0;0;0
20190329:0510;4830;15,68;3,55;0;0;0;0,00483
20190329:0610;193930;254,23;14,64;0;0;0;0,19393
20190329:0710;436320;514,37;25,4;0;0;0;0,43632
20190329:0810;624990;745,83;35,36;0;0;0;0,62499
20190329:0910;759450;932,2;43,77;0;0;0;0,75945
20190329:1010;836270;1048,31;49,49;0;0;0;0,83627
20190329:1110;861730;1088,17;51,24;0;0;0;0,86173
20190329:1210;832250;1041,35;48,49;0;0;0;0,83225
20190329:1310;738120;901,09;42,03;0;0;0;0,73812
20190329:1410;589440;699,74;33,18;0;0;0;0,58944
20190329:1510;382270;453,4;22,98;0;0;0;0,38227
20190329:1610;137600;196,21;12,1;0;0;0;0,1376
20190329:1710;0;0;0;0;0;0;0
20190329:1810;0;0;0;0;0;0;0
20190329:1910;0;0;0;0;0;0;0
20190329:2010;0;0;0;0;0;0;0
20190329:2110;0;0;0;0;0;0;0
20190329:2210;0;0;0;0;0;0;0
20190329:2310;0;0;0;0;0;0;0
20190330:0010;0;0;0;0;0;0;0
20190330:0110;0;0;0;0;0;0;0
20190330:0210;0;0;0;0;0;0;0
20190330:0310;0;0;0;0;0;0;0
20190330:0410;0;0;0;0;0;0;0
20190330:0510;2160;10,16;3,87;0;0;0;0,00216
20190330:0610;188630;246,33;14,96;0;0;0;0,18863
20190330:0710;424850;500,14;25,74;0;0;0;0,42485
20190330:0810;613390;730,23;35,72;0;0;0;0,61339
20190330:0910;746700;913,49;44,15;0;0;0;0,7467
20190330:1010;817450;1019,33;49,89;0;0;0;0,81745
20190330:1110;842400;1057,82;51,63;0;0;0;0,8424
20190330:1210;809060;1006,21;48,83;0;0;0;0,80906
20190330:1310;715330;868,85;42,32;0;0;0;0,71533
20190330:1410;576480;682,75;33,43;0;0;0;0,57648
20190330:1510;369590;438,05;23,2;0;0;0;0,36959
20190330:1610;133570;190,34;12,31;0;0;0;0,13357
20190330:1710;0;0;0;0;0;0;0
20190330:1810;0;0;0;0;0;0;0
20190330:1910;0;0;0;0;0;0;0
20190330:2010;0;0;0;0;0;0;0
20190330:2110;0;0;0;0;0;0;0
20190330:2210;0;0;0;0;0;0;0
20190330:2310;0;0;0;0;0;0;0
20190331:0010;0;0;0;0;0;0;0
20190331:0110;0;0;0;0;0;0;0
20190331:0210;0;0;0;0;0;0;0
20190331:0310;0;0;0;0;0;0;0
20190331:0410;0;0;0;0;0;0;0
20190331:0510;7170;19,66;4,19;0;0;0;0,00717
20190331:0610;194090;252,6;15,28;0;0;0;0,19409
20190331:0710;427030;502,75;26,07;0;0;0;0,42703
20190331:0810;614470;732,02;36,07;0;0;0;0,61447
20190331:0910;750680;919,61;44,53;0;0;0;0,75068
20190331:1010;821070;1025,3;50,29;0;0;0;0,82107
20190331:1110;845910;1063,73;52,01;0;0;0;0,84591
20190331:1210;811920;1010,92;49,17;0;0;0;0,81192
20190331:1310;726540;884,65;42,61;0;0;0;0,72654
20190331:1410;579370;686,7;33,67;0;0;0;0,57937
20190331:1510;373180;442,46;23,42;0;0;0;0,37318
20190331:1610;133310;189,11;12,51;0;0;0;0,13331
20190331:1710;0;0;0;0;0;0;0
20190331:1810;0;0;0;0;0;0;0
20190331:1910;0;0;0;0;0;0;0
20190331:2010;0;0;0;0;0;0;0
20190331:2110;0;0;0;0;0;0;0
20190331:2210;0;0;0;0;0;0;0
20190331:2310;0;0;0;0;0;0;0
20190401:0010;0;0;0;0;0;0;0
20190401:0110;0;0;0;0;0;0;0
20190401:0210;0;0;0;0;0;0;0
20190401:0310;0;0;0;0;0;0;0
20190401:0410;0;0;0;0;0;0;0
20190401:0510;8410;21,44;4,5;0;0;0;0,00841
20190401:0610;188070;243,3;15,6;0;0;0;0,18807
20190401:0710;415360;488,48;26,4;0;0;0;0,41536
20190401:0810;595630;707,75;36,42;0;0;0;0,59563
20190401:0910;725580;884,58;44,9;0;0;0;0,72558
20190401:1010;800120;994,51;50,68;0;0;0;0,80012
20190401:1110;829630;1039,35;52,4;0;0;0;0,82963
20190401:1210;795300;986,66;49,51;0;0;0;0,7953
20190401:1310;701200;849,9;42,89;0;0;0;0,7012
20190401:1410;544730;642,96;33,91;0;0;0;0,54473
20190401:1510;323190;382,31;23,63;0;0;0;0,32319
20190401:1610;115140;159,93;12,71;0;0;0;0,11514
20190401:1710;0;0;0;0;0;0;0
20190401:1810;0;0;0;0;0;0;0
20190401:1910;0;0;0;0;0;0;0
20190401:2010;0;0;0;0;0;0;0
20190401:2110;0;0;0;0;0;0;0
20190401:2210;0;0;0;0;0;0;0
20190401:2310;0;0;0;0;0;0;0
20190402:0010;0;0;0;0;0;0;0
20190402:0110;0;0;0;0;0;0;0
20190402:0210;0;0;0;0;0;0;0
20190402:0310;0;0;0;0;0;0;0
20190402:0410;0;0;0;0;0;0;0
20190402:0510;10870;25,7;4,82;0;0;0;0,01087
20190402:0610;158930;203,65;15,92;0;0;0;0,15893
20190402:0710;329270;386,18;26,73;0;0;0;0,32927
20190402:0810;467650;547,91;36,77;0;0;0;0,46765
20190402:0910;624900;748,55;45,28;0;0;0;0,6249
20190402:1010;686830;834,05;51,07;0;0;0;0,68683
20190402:1110;687830;836,06;52,78;0;0;0;0,68783
20190402:1210;636220;765,16;49,85;0;0;0;0,63622
20190402:1310;579120;688,33;43,17;0;0;0;0,57912
20190402:1410;306790;358,81;34,15;0;0;0;0,30679
20190402:1510;132280;164,08;23,84;0;0;0;0,13228
20190402:1610;58320;82,71;12,91;0;0;0;0,05832
20190402:1710;0;0;0;0;0;0;0
20190402:1810;0;0;0;0;0;0;0
20190402:1910;0;0;0;0;0;0;0
20190402:2010;0;0;0;0;0;0;0
20190402:2110;0;0;0;0;0;0;0
20190402:2210;0;0;0;0;0;0;0
20190402:2310;0;0;0;0;0;0;0
20190403:0010;0;0;0;0;0;0;0
20190403:0110;0;0;0;0;0;0;0
20190403:0210;0;0;0;0;0;0;0
20190403:0310;0;0;0;0;0;0;0
20190403:0410;0;0;0;0;0;0;0
20190403:0510;1210;8,31;5,13;0;0;0;0,00121
20190403:0610;52760;75,07;16,24;0;0;0;0,05276
20190403:0710;129490;160,84;27,06;0;0;0;0,12949
20190403:0810;151390;185,17;37,11;0;0;0;0,15139
20190403:0910;251270;296,81;45,65;0;0;0;0,25127
20190403:1010;384420;450,49;51,46;0;0;0;0,38442
20190403:1110;776720;961,01;53,16;0;0;0;0,77672
20190403:1210;667860;807,29;50,18;0;0;0;0,66786
20190403:1310;559520;662,99;43,45;0;0;0;0,55952
20190403:1410;344090;401,5;34,39;0;0;0;0,34409
20190403:1510;348430;412,7;24,06;0;0;0;0,34843
20190403:1610;85920;118,17;13,11;0;0;0;0,08592
20190403:1710;0;0;0;0;0;0;0
20190403:1810;0;0;0;0;0;0;0
20190403:1910;0;0;0;0;0;0;0
20190403:2010;0;0;0;0;0;0;0
20190403:2110;0;0;0;0;0;0;0
20190403:2210;0;0;0;0;0;0;0
20190403:2310;0;0;0;0;0;0;0
20190404:0010;0;0;0;0;0;0;0
20190404:0110;0;0;0;0;0;0;0
20190404:0210;0;0;0;0;0;0;0
20190404:0310;0;0;0;0;0;0;0
20190404:0410;0;0;0;0;0;0;0
20190404:0510;11660;25,92;5,45;0;0;0;0,01166
20190404:0610;196090;253,08;16,55;0;0;0;0,19609
20190404:0710;418650;492,1;27,38;0;0;0;0,41865
20190404:0810;586730;695,98;37,46;0;0;0;0,58673
20190404:0910;660050;794,81;46,02;0;0;0;0,66005
20190404:1010;728910;891,85;51,85;0;0;0;0,72891
20190404:1110;384460;450,73;53,54;0;0;0;0,38446
20190404:1210;465760;547,74;50,52;0;0;0;0,46576
20190404:1310;79540;105,3;43,73;0;0;0;0,07954
20190404:1410;34470;53,58;34,63;0;0;0;0,03447
20190404:1510;88080;114,87;24,27;0;0;0;0,08808
20190404:1610;79770;109,85;13,31;0;0;0;0,07977
20190404:1710;0;0;0;0;0;0;0
20190404:1810;0;0;0;0;0;0;0
20190404:1910;0;0;0;0;0;0;0
20190404:2010;0;0;0;0;0;0;0
20190404:2110;0;0;0;0;0;0;0
20190404:2210;0;0;0;0;0;0;0
20190404:2310;0;0;0;0;0;0;0
20190405:0010;0;0;0;0;0;0;0
20190405:0110;0;0;0;0;0;0;0
20190405:0210;0;0;0;0;0;0;0
20190405:0310;0;0;0;0;0;0;0
20190405:0410;0;0;0;0;0;0;0
20190405:0510;17480;42,38;5,76;0;0;0;0,01748
20190405:0610;209240;269,64;16,86;0;0;0;0,20924
20190405:0710;445150;524,45;27,71;0;0;0;0,44515
20190405:0810;629060;751,28;37,8;0;0;0;0,62906
20190405:0910;761020;934,64;46,39;0;0;0;0,76102
20190405:1010;829980;1038,91;52,24;0;0;0;0,82998
20190405:1110;848810;1068,39;53,91;0;0;0;0,84881
20190405:1210;813980;1014,26;50,85;0;0;0;0,81398
20190405:1310;722890;879,89;44,01;0;0;0;0,72289
20190405:1410;574370;680,62;34,86;0;0;0;0,57437
20190405:1510;375630;445,87;24,47;0;0;0;0,37563
20190405:1610;135090;192,15;13,51;0;0;0;0,13509
20190405:1710;0;0;0;0;0;0;0
20190405:1810;0;0;0;0;0;0;0
20190405:1910;0;0;0;0;0;0;0
20190405:2010;0;0;0;0;0;0;0
20190405:2110;0;0;0;0;0;0;0
20190405:2210;0;0;0;0;0;0;0
20190405:2310;0;0;0;0;0;0;0
20190406:0010;0;0;0;0;0;0;0
20190406:0110;0;0;0;0;0;0;0
20190406:0210;0;0;0;0;0;0;0
20190406:0310;0;0;0;0;0;0;0
20190406:0410;0;0;0;0;0;0;0
20190406:0510;19830;40,18;6,07;0;0;0;0,01983
20190406:0610;200580;257,35;17,17;0;0;0;0,20058
20190406:0710;426020;500,9;28,03;0;0;0;0,42602
20190406:0810;611860;728,37;38,14;0;0;0;0,61186
20190406:0910;741220;905,95;46,75;0;0;0;0,74122
20190406:1010;809240;1007,22;52,63;0;0;0;0,80924
20190406:1110;827440;1035,25;54,29;0;0;0;0,82744
20190406:1210;796370;987,36;51,17;0;0;0;0,79637
20190406:1310;702520;851,17;44,28;0;0;0;0,70252
20190406:1410;545390;643,6;35,09;0;0;0;0,54539
20190406:1510;330150;390,93;24,68;0;0;0;0,33015
20190406:1610;102850;140,84;13,71;0;0;0;0,10285
20190406:1710;0;4,35;2,6;0;0;0;0
20190406:1810;0;0;0;0;0;0;0
20190406:1910;0;0;0;0;0;0;0
20190406:2010;0;0;0;0;0;0;0
20190406:2110;0;0;0;0;0;0;0
20190406:2210;0;0;0;0;0;0;0
20190406:2310;0;0;0;0;0;0;0
20190407:0010;0;0;0;0;0;0;0
20190407:0110;0;0;0;0;0;0;0
20190407:0210;0;0;0;0;0;0;0
20190407:0310;0;0;0;0;0;0;0
20190407:0410;0;0;0;0;0;0;0
20190407:0510;19260;36,92;6,37;0;0;0;0,01926
20190407:0610;131830;167,81;17,48;0;0;0;0,13183
20190407:0710;53450;75,75;28,34;0;0;0;0,05345
20190407:0810;171250;207,19;38,48;0;0;0;0,17125
20190407:0910;231920;275,09;47,11;0;0;0;0,23192
20190407:1010;705300;859,3;53,01;0;0;0;0,7053
20190407:1110;641520;773,01;54,66;0;0;0;0,64152
20190407:1210;658600;794,93;51,5;0;0;0;0,6586
20190407:1310;216710;257,95;44,55;0;0;0;0,21671
20190407:1410;178920;215,59;35,32;0;0;0;0,17892
20190407:1510;99910;128,07;24,89;0;0;0;0,09991
20190407:1610;39150;59,12;13,9;0;0;0;0,03915
20190407:1710;0;1,74;2,79;0;0;0;0
20190407:1810;0;0;0;0;0;0;0
20190407:1910;0;0;0;0;0;0;0
20190407:2010;0;0;0;0;0;0;0
20190407:2110;0;0;0;0;0;0;0
20190407:2210;0;0;0;0;0;0;0
20190407:2310;0;0;0;0;0;0;0
20190408:0010;0;0;0;0;0;0;0
20190408:0110;0;0;0;0;0;0;0
20190408:0210;0;0;0;0;0;0;0
20190408:0310;0;0;0;0;0;0;0
20190408:0410;0;0;0;0;0;0;0
20190408:0510;1670;9,24;6,68;0;0;0;0,00167
20190408:0610;110330;141,73;17,79;0;0;0;0,11033
20190408:0710;142360;175,09;28,66;0;0;0;0,14236
20190408:0810;448900;525,38;38,81;0;0;0;0,4489
20190408:0910;353150;413,41;47,48;0;0;0;0,35315
20190408:1010;621710;746,25;53,39;0;0;0;0,62171
20190408:1110;324360;380,79;55,03;0;0;0;0,32436
20190408:1210;223220;265,48;51,82;0;0;0;0,22322
20190408:1310;251460;296,98;44,82;0;0;0;0,25146
20190408:1410;111020;140,41;35,55;0;0;0;0,11102
20190408:1510;105960;134,8;25,09;0;0;0;0,10596
20190408:1610;36800;56,35;14,1;0;0;0;0,0368
20190408:1710;0;4,35;2,99;0;0;0;0
20190408:1810;0;0;0;0;0;0;0
20190408:1910;0;0;0;0;0;0;0
20190408:2010;0;0;0;0;0;0;0
20190408:2110;0;0;0;0;0;0;0
20190408:2210;0;0;0;0;0;0;0
20190408:2310;0;0;0;0;0;0;0
20190409:0010;0;0;0;0;0;0;0
20190409:0110;0;0;0;0;0;0;0
20190409:0210;0;0;0;0;0;0;0
20190409:0310;0;0;0;0;0;0;0
20190409:0410;0;0;0;0;0;0;0
20190409:0510;20;5,54;6,98;0;0;0;0,00002
