time;P;G(i);H_sun;T2m;WS10m;Int;capacity factor
20190106:1210;213450;252,07;23,57;0;0;0;0,21345
20190106:1310;488800;569,63;19,06;0;0;0;0,4888
20190106:1410;160170;193,18;12,33;0;0;0;0,16017
20190106:1510;110800;144,58;3,93;0;0;0;0,1108
20190106:1610;0;0;0;0;0;0;0
20190106:1710;0;0;0;0;0;0;0
20190106:1810;0;0;0;0;0;0;0
20190106:1910;0;0;0;0;0;0;0
20190106:2010;0;0;0;0;0;0;0
20190106:2110;0;0;0;0;0;0;0
20190106:2210;0;0;0;0;0;0;0
20190106:2310;0;0;0;0;0;0;0
20190107:0010;0;0;0;0;0;0;0
20190107:0110;0;0;0;0;0;0;0
20190107:0210;0;0;0;0;0;0;0
20190107:0310;0;0;0;0;0;0;0
20190107:0410;0;0;0;0;0;0;0
20190107:0510;0;0;0;0;0;0;0
20190107:0610;0;0;0;0;0;0;0
20190107:0710;30170;48,61;5,95;0;0;0;0,03017
20190107:0810;97460;124,67;14,05;0;0;0;0,09746
20190107:0910;463950;539,53;20,35;0;0;0;0,46395
20190107:1010;337100;390,63;24,32;0;0;0;0,3371
20190107:1110;715630;867,39;25,49;0;0;0;0,71563
20190107:1210;472120;549,89;23,71;0;0;0;0,47212
20190107:1310;26090;43,41;19,21;0;0;0;0,02609
20190107:1410;7860;19,4;12,49;0;0;0;0,00786
20190107:1510;145140;184,1;4,09;0;0;0;0,14514
20190107:1610;0;0;0;0;0;0;0
20190107:1710;0;0;0;0;0;0;0
20190107:1810;0;0;0;0;0;0;0
20190107:1910;0;0;0;0;0;0;0
20190107:2010;0;0;0;0;0;0;0
20190107:2110;0;0;0;0;0;0;0
20190107:2210;0;0;0;0;0;0;0
20190107:2310;0;0;0;0;0;0;0
20190108:0010;0;0;0;0;0;0;0
20190108:0110;0;0;0;0;0;0;0
20190108:0210;0;0;0;0;0;0;0
20190108:0310;0;0;0;0;0;0;0
20190108:0410;0;0;0;0;0;0;0
20190108:0510;0;0;0;0;0;0;0
20190108:0610;0;0;0;0;0;0;0
20190108:0710;190300;231,58;5,99;0;0;0;0,1903
20190108:0810;426440;495,71;14,11;0;0;0;0,42644
20190108:0910;566860;667,57;20,44;0;0;0;0,56686
20190108:1010;489840;571,63;24,43;0;0;0;0,48984
20190108:1110;354250;410,56;25,62;0;0;0;0,35425
20190108:1210;167660;202,09;23,86;0;0;0;0,16766
20190108:1310;76990;102,36;19,37;0;0;0;0,07699
20190108:1410;76340;101,32;12,65;0;0;0;0,07634
20190108:1510;48200;71,25;4,25;0;0;0;0,0482
20190108:1610;0;0;0;0;0;0;0
20190108:1710;0;0;0;0;0;0;0
20190108:1810;0;0;0;0;0;0;0
20190108:1910;0;0;0;0;0;0;0
20190108:2010;0;0;0;0;0;0;0
20190108:2110;0;0;0;0;0;0;0
20190108:2210;0;0;0;0;0;0;0
20190108:2310;0;0;0;0;0;0;0
20190109:0010;0;0;0;0;0;0;0
20190109:0110;0;0;0;0;0;0;0
20190109:0210;0;0;0;0;0;0;0
20190109:0310;0;0;0;0;0;0;0
20190109:0410;0;0;0;0;0;0;0
20190109:0510;0;0;0;0;0;0;0
20190109:0610;0;0;0;0;0;0;0
20190109:0710;780;7,39;6,04;0;0;0;0,00078
20190109:0810;96250;123,33;14,18;0;0;0;0,09625
20190109:0910;145430;177,48;20,53;0;0;0;0,14543
20190109:1010;175990;211,23;24,55;0;0;0;0,17599
20190109:1110;32160;50,8;25,76;0;0;0;0,03216
20190109:1210;156240;189,63;24,02;0;0;0;0,15624
20190109:1310;27590;45,26;19,54;0;0;0;0,02759
20190109:1410;14490;28,64;12,82;0;0;0;0,01449
20190109:1510;20;5,54;4,41;0;0;0;0,00002
20190109:1610;0;0;0;0;0;0;0
20190109:1710;0;0;0;0;0;0;0
20190109:1810;0;0;0;0;0;0;0
20190109:1910;0;0;0;0;0;0;0
20190109:2010;0;0;0;0;0;0;0
20190109:2110;0;0;0;0;0;0;0
20190109:2210;0;0;0;0;0;0;0
20190109:2310;0;0;0;0;0;0;0
