index;lat;long;time;100m_ucomponent_wind;100m_vcomponent_wind;velocita_vento;potenza prodotta;capacity factor
64;21,76000023;159,3200073;43468,66667;-0,7444935;-0,86283493;1,139629189;0;0
65;21,76000023;159,3200073;43468,70833;-0,21504688;-1,0087668;1,031433768;0;0
66;21,76000023;159,3200073;43468,75;-0,2129035;-0,664641;0,697907988;0;0
67;21,76000023;159,3200073;43468,79167;-0,08375716;-0,06925525;0,108680962;0;0
68;21,76000023;159,3200073;43468,83333;0,5062437;-0,02583751;0,506902615;0;0
69;21,76000023;159,3200073;43468,875;1,328815;-0,4459443;1,401647467;0;0
70;21,76000023;159,3200073;43468,91667;2,157281;-0,26021287;2,172917866;0;0
71;21,76000023;159,3200073;43468,95833;2,8426676;-0,43267778;2,875407649;0;0
72;21,76000023;159,3200073;43469;3,9112062;-0,7772055;3,987678815;0;0
73;21,76000023;159,3200073;43469,04167;4,888646;-1,0554007;5,001272873;1664980,358;0,092498909
74;21,76000023;159,3200073;43469,08333;5,5943966;-1,087562;5,699128391;2463728,149;0,136873786
75;21,76000023;159,3200073;43469,125;6,130274;-1,1788195;6,24258558;3237881,7;0,179882317
76;21,76000023;159,3200073;43469,16667;6,8354874;-1,9699872;7,113700694;4791309,529;0,266183863
77;21,76000023;159,3200073;43469,20833;7,1854153;-3,0594509;7,809637177;6339573,421;0,352198523
78;21,76000023;159,3200073;43469,25;6,9190845;-3,8120248;7,899700209;6561441,989;0,364524555
79;21,76000023;159,3200073;43469,29167;6,3976765;-4,1022806;7,599932284;5842471,88;0,324581771
80;21,76000023;159,3200073;43469,33333;6,1184845;-4,316555;7,4878902;5587864,482;0,310436916
81;21,76000023;159,3200073;43469,375;5,8762674;-5,5266237;8,066851187;6986820,709;0,388156706
82;21,76000023;159,3200073;43469,41667;5,7696285;-7,5262513;9,483304891;11351326,18;0,630629232
83;21,76000023;159,3200073;43469,45833;4,3918886;-8,922855;9,94515092;13091867,37;0,727325965
84;21,76000023;159,3200073;43469,5;3,019507;-10,081466;10,52394314;15513255,37;0,86184752
85;21,76000023;159,3200073;43469,54167;2,0795789;-10,617755;10,81949027;16857294,14;0,936516341
86;21,76000023;159,3200073;43469,58333;2,1760364;-11,070024;11,2818689;18000000;1
87;21,76000023;159,3200073;43469,625;2,4847016;-11,322087;11,5915226;18000000;1
88;21,76000023;159,3200073;43469,66667;2,8260555;-11,154447;11,50687958;18000000;1
89;21,76000023;159,3200073;43469,70833;3,0077176;-10,717053;11,13110912;18000000;1
90;21,76000023;159,3200073;43469,75;3,2092075;-10,230211;10,72176431;16404622,13;0,911367896
91;21,76000023;159,3200073;43469,79167;3,1636581;-10,107999;10,5915238;15814038,87;0,878557715
92;21,76000023;159,3200073;43469,83333;2,8673182;-9,842266;10,25142496;14339043,22;0,796613512
