0,-28.399999618530273,-144.38999938964844,2019-01-01 00:00:00,2.089685,9.153482,204.8427
1,-28.399999618530273,-144.38999938964844,2019-01-01 01:00:00,2.119502,9.313422,205.82521
2,-28.399999618530273,-144.38999938964844,2019-01-01 02:00:00,2.1478248,9.455511,206.6705
3,-28.399999618530273,-144.38999938964844,2019-01-01 03:00:00,2.1956356,9.618618,207.3072
4,-28.399999618530273,-144.38999938964844,2019-01-01 04:00:00,2.2486434,9.76589,207.72437
5,-28.399999618530273,-144.38999938964844,2019-01-01 05:00:00,2.3038597,9.895885,207.98782
6,-28.399999618530273,-144.38999938964844,2019-01-01 06:00:00,2.357192,10.011054,208.17993
7,-28.399999618530273,-144.38999938964844,2019-01-01 07:00:00,2.4057176,10.113842,208.38303
8,-28.399999618530273,-144.38999938964844,2019-01-01 08:00:00,2.4488513,10.195036,208.55318
9,-28.399999618530273,-144.38999938964844,2019-01-01 09:00:00,2.4828258,10.269751,208.7947
10,-28.399999618530273,-144.38999938964844,2019-01-01 10:00:00,2.5111485,10.320281,208.94838
11,-28.399999618530273,-144.38999938964844,2019-01-01 11:00:00,2.5297272,10.353248,209.13501
12,-28.399999618530273,-144.38999938964844,2019-01-01 12:00:00,2.5409653,10.367932,209.29419
13,-28.399999618530273,-144.38999938964844,2019-01-01 13:00:00,2.544603,10.373259,209.47531
14,-28.399999618530273,-144.38999938964844,2019-01-01 14:00:00,2.5403807,10.376858,209.72232
15,-28.399999618530273,-144.38999938964844,2019-01-01 15:00:00,2.5302467,10.374842,209.99677
16,-28.399999618530273,-144.38999938964844,2019-01-01 16:00:00,2.5147214,10.369803,210.31511
17,-28.399999618530273,-144.38999938964844,2019-01-01 17:00:00,2.4964025,10.360878,210.67738
18,-28.399999618530273,-144.38999938964844,2019-01-01 18:00:00,2.474121,10.347057,211.0122
19,-28.399999618530273,-144.38999938964844,2019-01-01 19:00:00,2.4482017,10.338996,211.32507
20,-28.399999618530273,-144.38999938964844,2019-01-01 20:00:00,2.420204,10.328774,211.62148
21,-28.399999618530273,-144.38999938964844,2019-01-01 21:00:00,2.3934402,10.299983,211.84103
22,-28.399999618530273,-144.38999938964844,2019-01-01 22:00:00,2.3679109,10.258234,211.98923
23,-28.399999618530273,-144.38999938964844,2019-01-01 23:00:00,2.3439403,10.193596,211.9508
24,-28.399999618530273,-144.38999938964844,2019-01-02 00:00:00,2.3258812,10.089945,211.48425
25,-28.399999618530273,-144.38999938964844,2019-01-02 01:00:00,2.3189955,9.921223,210.1285
26,-28.399999618530273,-144.38999938964844,2019-01-02 02:00:00,2.323153,9.700532,207.76828
27,-28.399999618530273,-144.38999938964844,2019-01-02 03:00:00,2.3450446,9.47221,204.39261
28,-28.399999618530273,-144.38999938964844,2019-01-02 04:00:00,2.3766155,9.128721,198.1188
29,-28.399999618530273,-144.38999938964844,2019-01-02 05:00:00,2.4424853,8.718433,186.04326
30,-28.399999618530273,-144.38999938964844,2019-01-02 06:00:00,2.5260894,8.330893,164.96594
31,-28.399999618530273,-144.38999938964844,2019-01-02 07:00:00,2.6081994,8.029583,135.34792
32,-28.399999618530273,-144.38999938964844,2019-01-02 08:00:00,2.6802406,7.81681,107.46438
33,-28.399999618530273,-144.38999938964844,2019-01-02 09:00:00,2.7093427,7.716902,88.3905
34,-28.399999618530273,-144.38999938964844,2019-01-02 10:00:00,2.6842031,7.7022176,72.65386
35,-28.399999618530273,-144.38999938964844,2019-01-02 11:00:00,2.600599,7.7857146,63.668556
36,-28.399999618530273,-144.38999938964844,2019-01-02 12:00:00,2.5360932,7.8353806,55.33094
37,-28.399999618530273,-144.38999938964844,2019-01-02 13:00:00,2.5173845,7.7973757,45.04477
38,-28.399999618530273,-144.38999938964844,2019-01-02 14:00:00,2.4409912,7.565887,34.121887
39,-28.399999618530273,-144.38999938964844,2019-01-02 15:00:00,2.4554124,7.534792,25.25734
40,-28.399999618530273,-144.38999938964844,2019-01-02 16:00:00,2.4548278,7.6236153,19.41716
41,-28.399999618530273,-144.38999938964844,2019-01-02 17:00:00,2.4106545,7.762249,15.799988
42,-28.399999618530273,-144.38999938964844,2019-01-02 18:00:00,2.3570623,7.930251,12.045593
43,-28.399999618530273,-144.38999938964844,2019-01-02 19:00:00,2.300157,8.09782,7.100113
44,-28.399999618530273,-144.38999938964844,2019-01-02 20:00:00,2.2479286,8.255601,0.74946594
45,-28.399999618530273,-144.38999938964844,2019-01-02 21:00:00,2.208303,8.389916,352.7901
46,-28.399999618530273,-144.38999938964844,2019-01-02 22:00:00,2.170236,8.558207,345.06177
47,-28.399999618530273,-144.38999938964844,2019-01-02 23:00:00,2.1441221,8.702311,335.75812
48,-28.399999618530273,-144.38999938964844,2019-01-03 00:00:00,2.125803,8.841376,325.26337
49,-28.399999618530273,-144.38999938964844,2019-01-03 01:00:00,2.1150846,8.971661,313.50067
50,-28.399999618530273,-144.38999938964844,2019-01-03 02:00:00,2.0286872,8.916092,300.98602
51,-28.399999618530273,-144.38999938964844,2019-01-03 03:00:00,2.0410297,9.085245,286.63257
52,-28.399999618530273,-144.38999938964844,2019-01-03 04:00:00,2.0359628,9.205596,271.7577
53,-28.399999618530273,-144.38999938964844,2019-01-03 05:00:00,2.0443428,9.335448,256.50958
54,-28.399999618530273,-144.38999938964844,2019-01-03 06:00:00,2.0564904,9.450329,243.62717
55,-28.399999618530273,-144.38999938964844,2019-01-03 07:00:00,2.0711064,9.546638,233.30806
56,-28.399999618530273,-144.38999938964844,2019-01-03 08:00:00,2.0888405,9.614443,225.42053
