index,lat,long,time,significant_wave_height,energy_wave_period,mean_wave_direction
0,42.02000045776367,15.380000114440918,2019-01-01 23:00:00,0.89632624,4.4176474,337.5725
1,42.02000045776367,15.380000114440918,2019-01-02 23:00:00,2.1296878,5.7554097,10.668198
2,42.02000045776367,15.380000114440918,2019-01-03 23:00:00,3.2096395,6.799451,1.7120667
3,42.02000045776367,15.380000114440918,2019-01-04 23:00:00,1.945123,5.8458095,12.137222
4,42.02000045776367,15.380000114440918,2019-01-05 23:00:00,1.3366537,4.809857,338.7084
5,42.02000045776367,15.380000114440918,2019-01-06 23:00:00,1.4596324,5.012464,21.115189
6,42.02000045776367,15.380000114440918,2019-01-07 23:00:00,1.0290138,5.013574,8.991653
7,42.02000045776367,15.380000114440918,2019-01-08 23:00:00,0.3805499,3.1120806,191.87698
8,42.02000045776367,15.380000114440918,2019-01-09 23:00:00,1.1751778,4.5285063,347.03107
9,42.02000045776367,15.380000114440918,2019-01-10 23:00:00,1.3438991,5.8760223,5.9498444
10,42.02000045776367,15.380000114440918,2019-01-11 23:00:00,0.79687095,3.88397,4.7866364
11,42.02000045776367,15.380000114440918,2019-01-12 23:00:00,1.1553254,5.0315747,354.0758
12,42.02000045776367,15.380000114440918,2019-01-13 23:00:00,0.4229114,3.165369,258.1196
13,42.02000045776367,15.380000114440918,2019-01-14 23:00:00,0.6535085,3.8824635,336.08163
14,42.02000045776367,15.380000114440918,2019-01-15 23:00:00,0.746298,4.5437317,15.643219
15,42.02000045776367,15.380000114440918,2019-01-16 23:00:00,0.36166358,2.6896586,179.64967
16,42.02000045776367,15.380000114440918,2019-01-17 23:00:00,0.88077277,3.71673,164.65907
17,42.02000045776367,15.380000114440918,2019-01-18 23:00:00,0.43242705,3.842735,19.422272
18,42.02000045776367,15.380000114440918,2019-01-19 23:00:00,0.39735925,3.5488555,33.3425
19,42.02000045776367,15.380000114440918,2019-01-20 23:00:00,0.3119117,3.3092954,85.37545
20,42.02000045776367,15.380000114440918,2019-01-21 23:00:00,0.43295836,3.6371937,38.99469
21,42.02000045776367,15.380000114440918,2019-01-22 23:00:00,0.79865813,5.156787,55.312332
22,42.02000045776367,15.380000114440918,2019-01-23 23:00:00,0.3321023,3.269329,177.23042
23,42.02000045776367,15.380000114440918,2019-01-24 23:00:00,1.5733854,4.946884,53.20437
24,42.02000045776367,15.380000114440918,2019-01-25 23:00:00,2.2294328,6.180369,3.7217255
25,42.02000045776367,15.380000114440918,2019-01-26 23:00:00,1.493396,5.5097437,339.23267
26,42.02000045776367,15.380000114440918,2019-01-27 23:00:00,1.0685253,3.9568453,194.25253
27,42.02000045776367,15.380000114440918,2019-01-28 23:00:00,0.5852084,4.307423,226.59291
28,42.02000045776367,15.380000114440918,2019-01-29 23:00:00,0.48787856,3.7647848,328.66006
29,42.02000045776367,15.380000114440918,2019-01-30 23:00:00,1.0767369,3.8756437,183.43419
30,42.02000045776367,15.380000114440918,2019-01-31 23:00:00,0.815709,3.7469425,181.30437
31,42.02000045776367,15.380000114440918,2019-02-01 23:00:00,1.2396619,4.643251,148.90938
32,42.02000045776367,15.380000114440918,2019-02-02 23:00:00,1.9131949,6.939888,124.891655
33,42.02000045776367,15.380000114440918,2019-02-03 23:00:00,0.78175217,6.096551,126.32245
34,42.02000045776367,15.380000114440918,2019-02-04 23:00:00,1.118567,4.5497584,11.1706085
35,42.02000045776367,15.380000114440918,2019-02-05 23:00:00,2.135339,5.6557317,330.65335
36,42.02000045776367,15.380000114440918,2019-02-06 23:00:00,1.057609,4.522321,343.50323
37,42.02000045776367,15.380000114440918,2019-02-07 23:00:00,0.4316541,4.329468,14.403564
38,42.02000045776367,15.380000114440918,2019-02-08 23:00:00,0.35374188,2.9959087,330.11816
39,42.02000045776367,15.380000114440918,2019-02-09 23:00:00,0.2178663,2.4462128,122.42872
40,42.02000045776367,15.380000114440918,2019-02-10 23:00:00,1.2554085,4.0799956,208.94824
41,42.02000045776367,15.380000114440918,2019-02-11 23:00:00,2.5742657,6.243966,347.95398
42,42.02000045776367,15.380000114440918,2019-02-12 23:00:00,1.8159616,5.3544774,14.780365
43,42.02000045776367,15.380000114440918,2019-02-13 23:00:00,1.7099854,5.2729588,5.29451
44,42.02000045776367,15.380000114440918,2019-02-14 23:00:00,1.3038561,4.9222226,338.2442
45,42.02000045776367,15.380000114440918,2019-02-15 23:00:00,1.0403166,4.8209586,23.075714
46,42.02000045776367,15.380000114440918,2019-02-16 23:00:00,0.4127195,3.588108,354.62738
47,42.02000045776367,15.380000114440918,2019-02-17 23:00:00,0.27153063,3.1079571,323.07886
48,42.02000045776367,15.380000114440918,2019-02-18 23:00:00,0.12768519,2.5433533,320.08075
49,42.02000045776367,15.380000114440918,2019-02-19 23:00:00,0.13082492,2.0701804,16.156555
50,42.02000045776367,15.380000114440918,2019-02-20 23:00:00,0.28640795,2.768957,330.78986
51,42.02000045776367,15.380000114440918,2019-02-21 23:00:00,0.3969245,3.4635305,333.75525
52,42.02000045776367,15.380000114440918,2019-02-22 23:00:00,2.3896527,5.65248,357.65826
53,42.02000045776367,15.380000114440918,2019-02-23 23:00:00,2.2341664,6.7573433,46.24698
54,42.02000045776367,15.380000114440918,2019-02-24 23:00:00,1.4421952,5.2874703,12.344742
55,42.02000045776367,15.380000114440918,2019-02-25 23:00:00,1.2077821,5.6895127,38.61789
56,42.02000045776367,15.380000114440918,2019-02-26 23:00:00,1.5615512,4.989547,326.9999
57,42.02000045776367,15.380000114440918,2019-02-27 23:00:00,0.777888,4.772507,8.134262
