[kW];;T_e (s);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H_s (m);;2,5;3;3,5;4;4,5;5;5,5;6;6,5;7;7,5;8;8,5;9;9,5;10;10,5;11;11,5;12;12,5;13;13,5;14;14,5;15;15,5;16;16,5;17;17,5;18;19
;0,5;0;223,1737788;561,7894516;1178,31126;1481,863311;1817,586713;1752,176381;1515,045339;1243,416598;950,6747775;690,8802617;489,2705589;307,8820584;161,5691606;59,38999568;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;1;0;2631,757012;4491,586914;7081,695161;8861,076607;9017,86988;8728,728057;7721,5805;6572,794735;5363,130465;4301,48718;3481,794101;2747,104207;2156,227129;1936,779848;1333,256502;1195,851224;793,4403157;707,2560433;433,364977;374,0339169;179,2307049;0;0;0;0;0;0;0;0;0;0;0
;1,5;0;0;0;17460,97175;21518,63701;24782,21691;22186,70181;19557,29538;16458,44178;13229,71953;10582,52881;8618,232109;6895,987713;5520,564591;4785,668727;3644,079071;3213,181619;2419,297277;2168,247738;1604,635235;1537,187649;1030,639056;0;0;0;0;0;0;0;0;0;0;0
;2;0;0;0;0;42329,33386;46773,04285;46083,69665;33718,30101;29549,62226;25349,5349;20687,44857;16605,93006;13072,9299;10436,88079;9360,629311;6950,443894;6088,382579;5134,956575;4817,196898;4842,195597;5264,923332;0;0;0;0;0;0;0;0;0;0;0;0
;2,5;0;0;0;0;0;62321,60638;61843,79898;55001,88993;45526,28051;38628,33411;33358,2182;27005,96197;21977,50853;17531,08704;14742,57545;11366,84503;9633,970567;7745,522365;8402,798334;9377,277211;9921,921546;0;0;0;0;0;0;0;0;0;0;0;0
;3;0;0;0;0;0;0;0;66663,0882;52808,99495;47272,84935;44417,15948;39261,55902;32061,27828;24774,17467;21481,70908;17482,78845;14750,4422;11587,85065;13412,89723;14551,18234;14563,60684;0;0;0;0;0;0;0;0;0;0;0;0
;3,5;0;0;0;0;0;0;0;76891,20004;61229,34789;60338,3938;47085,96995;45186,58255;44321,05949;31382,11482;29116,7529;23780,93153;20221,05462;16673,98555;17112,10351;18488,16466;18557,6573;0;0;0;0;0;0;0;0;0;0;0;0
;4;0;0;0;0;0;0;0;0;0;62945,58132;50432,19334;46140,23899;44474,82777;37346,03131;32732,86522;27874,50083;26084,48227;21696,08917;23149,1532;23063,45105;21876,41826;0;0;0;0;0;0;0;0;0;0;0;0
;4,5;0;0;0;0;0;0;0;0;0;0;59084,3092;66687,30207;54708,66323;54210,83257;38704,39063;41871,22309;29624,21604;26603,67278;25084,43342;24774,08982;0;0;0;0;0;0;0;0;0;0;0;0;0
;5;0;0;0;0;0;0;0;0;0;0;0;61582,83966;54128,37997;48820,52344;45784,36724;41597,14964;35558,41972;32257,74498;29559,0412;28610,28363;0;0;0;0;0;0;0;0;0;0;0;0;0
;5,5;0;0;0;0;0;0;0;0;0;0;0;0;61710,5646;56494,69098;49611,93815;50550,65472;42389,15295;44438,79377;30822,48597;32546,46677;0;0;0;0;0;0;0;0;0;0;0;0;0
;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54840,30864;53543,33646;46174,69963;41972,91292;36151,87093;36344,38423;0;0;0;0;0;0;0;0;0;0;0;0;0
;6,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60780,69399;53091,14725;57357,99606;41958,05498;39973,44672;0;0;0;0;0;0;0;0;0;0;0;0;0
;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53361,73352;53633,9614;46794,49956;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;7,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60125,15035;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;8,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;9,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;10,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;11,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;12,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;13,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
