"significant_wave_height,energy_wave_period,mean_wave_direction,potenza(kW/m)"
"('2019-01-04 01:00:00', '3.057391', '6.6452436')",30.437498104379237
"('2019-01-04 02:00:00', '3.01091', '6.6000724')",29.318404187356997
"('2019-01-04 03:00:00', '3.0934505', '6.601093')",30.95268111373945
"('2019-01-04 04:00:00', '3.1838067', '6.6598988')",33.07935970605001
"('2019-01-04 05:00:00', '3.2333665', '6.7493143')",34.575271696672715
"('2019-01-04 06:00:00', '3.2459784', '6.8105316')",35.1615768751201
"('2019-01-04 07:00:00', '3.2145963', '6.8332567')",34.60004764926445
"('2019-01-04 08:00:00', '3.1711354', '6.8208275')",33.60955155848604
"('2019-01-04 09:00:00', '3.1109178', '6.787436')",32.18688136879231
"('2019-01-04 10:00:00', '2.9351792', '6.7498703')",28.494480939497436
"('2019-01-04 11:00:00', '2.780046', '6.657673')",25.212882768929717
"('2019-01-04 12:00:00', '2.6295314', '6.5475736')",22.18365954247191
"('2019-01-04 13:00:00', '2.5283394', '6.4212427')",20.113419422856786
"('2019-01-04 14:00:00', '2.4408846', '6.3075256')",18.414061808817383
"('2019-01-04 15:00:00', '2.362785', '6.2106905')",16.989647867046028
"('2019-01-04 16:00:00', '2.2958174', '6.124707')",15.81816434881538
"('2019-01-04 17:00:00', '2.2451327', '6.048556')",14.939353940304258
"('2019-01-04 18:00:00', '2.2786462', '6.0890894')",15.491812339891945
"('2019-01-04 19:00:00', '2.2203825', '6.0456805')",14.604842019557854
"('2019-01-04 20:00:00', '2.147908', '6.002086')",13.568431454664937
"('2019-01-04 21:00:00', '2.059328', '5.954132')",12.372731474025429
"('2019-01-04 22:00:00', '2.0021303', '5.877517')",11.544487303828845
"('2019-01-04 23:00:00', '1.9613929', '5.8027573')",10.938548188552225
"('2019-01-05 00:00:00', '1.9724061', '5.7269773')",10.91727413620594
"('2019-01-05 01:00:00', '2.0375977', '5.6860723')",11.567655360896383
"('2019-01-05 02:00:00', '2.1335196', '5.702861')",12.719854404189698
"('2019-01-05 03:00:00', '2.210731', '5.7676034')",13.812213144031295
"('2019-01-05 04:00:00', '2.2422314', '5.838653')",14.383666517001474
"('2019-01-05 05:00:00', '2.257626', '5.8969955')",14.72756243054866
"('2019-01-05 06:00:00', '2.2342377', '5.9187')",14.477086156644058
"('2019-01-05 07:00:00', '2.1592174', '5.9133205')",13.508907903624811
"('2019-01-05 08:00:00', '2.0708742', '5.8726015')",12.340536665067908
"('2019-01-05 09:00:00', '1.9738272', '5.808879')",11.089364762789723
"('2019-01-05 10:00:00', '1.8436812', '5.7453423')",9.56937652275141
"('2019-01-05 11:00:00', '1.7508382', '5.626246')",8.450975142429181
"('2019-01-05 12:00:00', '1.6889625', '5.485167')",7.667008569159487
"('2019-01-05 13:00:00', '1.636383', '5.355682')",7.027175185538457
"('2019-01-05 14:00:00', '1.5781785', '5.2579193')",6.416855229602595
"('2019-01-05 15:00:00', '1.5089015', '5.1939187')",5.794460516697709
"('2019-01-05 16:00:00', '1.419019', '5.14615')",5.07755857202695
"('2019-01-05 17:00:00', '1.3403274', '5.083634')",4.4749908062485755
"('2019-01-05 18:00:00', '1.2981098', '4.988839')",4.119252612827023
"('2019-01-05 19:00:00', '1.2836623', '4.891447')",3.949435316111455
"('2019-01-05 20:00:00', '1.2805241', '4.815203')",3.868888323659593
"('2019-01-05 21:00:00', '1.2870965', '4.7659507')",3.8687248607386713
"('2019-01-05 22:00:00', '1.3151035', '4.7418346')",4.018484971653325
"('2019-01-05 23:00:00', '1.3978806', '4.7555623')",4.553424196008967
"('2019-01-06 00:00:00', '1.4879408', '4.8109365')",5.219116721728663
"('2019-01-06 01:00:00', '1.5691192', '4.8790183')",5.886272996363072
"('2019-01-06 02:00:00', '1.6511266', '4.9544272')",6.618358367219069
"('2019-01-06 03:00:00', '1.7497132', '5.0559006')",7.584524236270021
"('2019-01-06 04:00:00', '1.768187', '5.149304')",7.888619314660824
"('2019-01-06 05:00:00', '1.6983771', '5.2005043')",7.350379980032638
"('2019-01-06 06:00:00', '1.597955', '5.206626')",6.514506965111087
"('2019-01-06 07:00:00', '1.4719537', '5.188168')",5.508056796708502
