"Tempo, CF wec, produzione WEC, CF eolico, produzione EOLICO, CF FV, produzione FV, consumo elettrico, produzione diesel"
2019-01-06 07:00:00,0.32230238173726855,0.024782216907226602,0.311408251,1.8684495060000001,0.04941,0.19764,0.191178598,-0.10605357107226601
2019-01-06 08:00:00,0.32230238173726855,0.024782216907226602,0.155512136,0.9330728159999999,0.09586,0.38344,0.162953571,-0.18072859807226602
2019-01-06 09:00:00,0.1172809095942033,0.009017869880371092,0.096944556,0.581667336,0.04546,0.18184,0.170022377,0.03438367819628908
2019-01-06 10:00:00,0.1172809095942033,0.009017869880371092,0.193568282,1.161409692,0.20905,0.8362,0.209649919,-0.08957877980371094
2019-01-06 11:00:00,0.1172809095942033,0.009017869880371092,0.163403339,0.980420034,0.01945,0.0778,0.179905304,0.07027660519628907
2019-01-06 12:00:00,0.11524175201543595,0.00886107660707092,0.170927086,1.025562516,0.21345,0.8538,0.183733699,-0.1183270670707092
2019-01-06 13:00:00,0.11524175201543595,0.00886107660707092,0.242683266,1.456099596,0.4888,1.9552,0.225228123,-0.35218264307070923
2019-01-06 14:00:00,0.11524175201543595,0.00886107660707092,0.466919528,2.8015171679999997,0.16017,0.64068,0.179779002,-0.06900176407070921
2019-01-06 15:00:00,0.11524175201543595,0.00886107660707092,0.440758422,2.644550532,0.1108,0.4432,0.221166953,0.021756186929290808
2019-01-06 16:00:00,0.09210020336588408,0.007081695160644531,0.257003457,1.542020742,0.0,0.0,0.188418923,0.11760197139355467
2019-01-06 17:00:00,0.09210020336588408,0.007081695160644531,0.308950869,1.853705214,0.0,0.0,0.240984457,0.17016750539355469
2019-01-06 18:00:00,0.09210020336588408,0.007081695160644531,0.543547911,3.2612874659999997,0.0,0.0,0.237021117,0.1662041653935547
2019-01-06 19:00:00,0.09210020336588408,0.007081695160644531,0.610679388,3.664076328,0.0,0.0,0.279243572,0.2084266203935547
2019-01-06 20:00:00,0.11524175201543595,0.00886107660707092,0.785070244,4.710421464,0.0,0.0,0.210717226,0.12210645992929081
2019-01-06 21:00:00,0.2798582542249846,0.021518637008196104,1.021577371,6.129464226,0.0,0.0,0.181197858,-0.03398851208196105
2019-01-06 22:00:00,0.32230238173726855,0.024782216907226602,0.631692983,3.790157898,0.0,0.0,0.199716201,-0.048105968072266
