"Tempo, CF eolico offshore, produzione EOLICO offshore, consumo elettrico, produzione diesel"
2019-06-08 09:00:00,0.0,0.0,34.6862485982,34.6862485982
2019-06-08 10:00:00,0.0,0.0,45.358065788999994,45.358065788999994
2019-06-08 11:00:00,0.0,0.0,42.056542964,42.056542964
2019-06-08 12:00:00,0.0,0.0,39.480095724,39.480095724
2019-06-08 13:00:00,0.0,0.0,43.845302633,43.845302633
2019-06-08 14:00:00,0.0,0.0,52.192487916,52.192487916
2019-06-08 15:00:00,0.0,0.0,35.3391764637,35.3391764637
2019-06-08 16:00:00,0.0,0.0,37.246575051,37.246575051
2019-06-08 17:00:00,0.0,0.0,56.769280157,56.769280157
2019-06-08 18:00:00,0.0,0.0,59.292111385999995,59.292111385999995
2019-06-08 19:00:00,0.0,0.0,41.439419079000004,41.439419079000004
2019-06-08 20:00:00,0.0,0.0,55.094589451,55.094589451
2019-06-08 21:00:00,0.0,0.0,50.177389516,50.177389516
2019-06-08 22:00:00,0.0,0.0,38.467508778,38.467508778
2019-06-08 23:00:00,0.0,0.0,29.09298315,29.09298315
2019-06-09 00:00:00,0.0,0.0,32.809364358100005,32.809364358100005
2019-06-09 01:00:00,0.0,0.0,27.439307041600003,27.439307041600003
2019-06-09 02:00:00,0.0,0.0,30.958784348900004,30.958784348900004
2019-06-09 03:00:00,0.0,0.0,29.7024424643,29.7024424643
2019-06-09 04:00:00,0.0,0.0,36.412828088,36.412828088
2019-06-09 05:00:00,0.0,0.0,38.516087043,38.516087043
2019-06-09 06:00:00,0.0,0.0,47.978053548,47.978053548
2019-06-09 07:00:00,0.0,0.0,45.939565613000006,45.939565613000006
2019-06-09 08:00:00,0.0,0.0,42.653156026,42.653156026
2019-06-09 09:00:00,0.0,0.0,38.917667367,38.917667367
2019-06-09 10:00:00,0.065384445,9.41536008,37.010160828,27.594800747999997
2019-06-09 11:00:00,0.101596828,14.629943232,54.441481666,39.811538434
2019-06-09 12:00:00,0.115247152,16.595589888,42.435813270000004,25.840223382000005
2019-06-09 13:00:00,0.104109804,14.991811776,41.461729097,26.469917321000004
2019-06-09 14:00:00,0.090072102,12.970382688,45.244356665,32.273973977
2019-06-09 15:00:00,0.072795158,10.482502752,32.8568271222,22.3743243702
2019-06-09 16:00:00,0.054387557,7.831808208,34.356132299600006,26.524324091600008
2019-06-09 17:00:00,0.0,0.0,54.945975944,54.945975944
2019-06-09 18:00:00,0.0,0.0,56.909617366999996,56.909617366999996
2019-06-09 19:00:00,0.0,0.0,69.22186859099999,69.22186859099999
2019-06-09 20:00:00,0.0,0.0,53.094244450000005,53.094244450000005
2019-06-09 21:00:00,0.070126294,10.098186336000001,44.377864353,34.279678016999995
2019-06-09 22:00:00,0.089297523,12.858843312000001,40.091822024,27.232978712
2019-06-09 23:00:00,0.121557445,17.50427208,38.218140351,20.713868271000003
2019-06-10 00:00:00,0.145133945,20.899288079999998,29.3505559062,8.451267826200002
2019-06-10 01:00:00,0.190523958,27.435449952,25.730683517899998,-1.7047664341000015
2019-06-10 02:00:00,0.221286889,31.865312015999997,27.484970610699996,-4.380341405300001
2019-06-10 03:00:00,0.198619281,28.601176464,31.1013885446,2.500212080599997
2019-06-10 04:00:00,0.169809432,24.452558208000003,30.8925739729,6.4400157648999965
2019-06-10 05:00:00,0.15037711,21.65430384,27.919404235400002,6.265100395400001
2019-06-10 06:00:00,0.140621869,20.249549136000002,37.910478006,17.660928869999996
2019-06-10 07:00:00,0.145278827,20.920151088,39.463183291,18.543032203
2019-06-10 08:00:00,0.173843464,25.033458816,48.488665089,23.455206273
2019-06-10 09:00:00,0.225127704,32.418389376,31.790516213500002,-0.6278731624999985
2019-06-10 10:00:00,0.223757118,32.221024992000004,40.624743583,8.403718590999993
2019-06-10 11:00:00,0.252027259,36.291925296,46.905733328000004,10.613808032000001
2019-06-10 12:00:00,0.262214253,37.758852432,34.0088516807,-3.7500007513
2019-06-10 13:00:00,0.266697652,38.404461888,33.5300858912,-4.874375996799998
2019-06-10 14:00:00,0.279571194,40.258251936,29.4154708618,-10.842781074200001
2019-06-10 15:00:00,0.29157864,41.98732416,38.108389456,-3.8789347040000024
2019-06-10 16:00:00,0.296793204,42.738221376,38.613243573,-4.124977803
2019-06-10 17:00:00,0.265628645,38.25052488,46.966905958,8.716381077999998
2019-06-10 18:00:00,0.237879801,34.254691344,29.69391428,-4.560777064
2019-06-10 19:00:00,0.224775746,32.367707424,52.281368149,19.913660725
2019-06-10 20:00:00,0.26730097,38.49133968,52.323469312,13.832129631999997
2019-06-10 21:00:00,0.292792365,42.16210056,41.969461926,-0.19263863399999792
2019-06-10 22:00:00,0.245468076,35.347402944,37.581225321,2.2338223769999956
2019-06-10 23:00:00,0.261632464,37.675074816,33.8033476278,-3.8717271881999977
2019-06-11 00:00:00,0.294621823,42.425542512,30.173903522099998,-12.251638989900002
2019-06-11 01:00:00,0.325619719,46.889239536,29.6556993782,-17.233540157799997
2019-06-11 02:00:00,0.347195106,49.996095264,33.5951447824,-16.4009504816
2019-06-11 03:00:00,0.336685935,48.48277464,30.2211143989,-18.261660241100003
2019-06-11 04:00:00,0.259227575,37.3287708,41.242587146,3.9138163459999973
2019-06-11 05:00:00,0.183710161,26.454263184000002,37.852184088,11.397920904
2019-06-11 06:00:00,0.14957639,21.53900016,52.283527183,30.744527022999996
2019-06-11 07:00:00,0.141577943,20.387223792,44.301578485,23.914354693
2019-06-11 08:00:00,0.136288059,19.625480495999998,40.015895995,20.390415499000003
2019-06-11 09:00:00,0.12591223,18.13136112,44.362391276000004,26.231030156000003
2019-06-11 10:00:00,0.096376265,13.87818216,38.948253682,25.070071522
2019-06-11 11:00:00,0.09523676,13.714093440000001,55.099987036,41.385893596
2019-06-11 12:00:00,0.100782106,14.512623264,49.127019475,34.614396211
2019-06-11 13:00:00,0.103070273,14.842119312000001,47.945308199,33.103188887
2019-06-11 14:00:00,0.101358793,14.595666192,47.451249252,32.85558306
2019-06-11 15:00:00,0.112899666,16.257551904,36.047231664,19.789679760000002
2019-06-11 16:00:00,0.130686647,18.818877168,43.546276424,24.727399255999998
2019-06-11 17:00:00,0.158892468,22.880515392,38.439801175,15.559285783
2019-06-11 18:00:00,0.188625886,27.162127584,75.922070771,48.75994318699999
2019-06-11 19:00:00,0.220146306,31.701068064,58.140626585999996,26.439558521999995
2019-06-11 20:00:00,0.296118187,42.641018927999994,49.00719308800001,6.366174160000014
2019-06-11 21:00:00,0.380044311,54.726380784,41.907929457,-12.818451326999998
2019-06-11 22:00:00,0.296607389,42.711464016,51.695190417999996,8.983726401999995
2019-06-11 23:00:00,0.304668484,43.872261696,31.596311105199998,-12.275950590800004
2019-06-12 00:00:00,0.286432313,41.246253072,32.3899360197,-8.8563170523
2019-06-12 01:00:00,0.277933854,40.022474976,28.3956511519,-11.626823824099997
2019-06-12 02:00:00,0.236070132,33.994099008,27.4415380434,-6.552560964599998
2019-06-12 03:00:00,0.224950231,32.392833264000004,30.5322311983,-1.8606020657000037
2019-06-12 04:00:00,0.256108045,36.87955848,36.379722900000004,-0.4998355799999956
2019-06-12 05:00:00,0.298007789,42.913121616000005,36.769428536999996,-6.143693079000009
2019-06-12 06:00:00,0.330224876,47.552382144,40.581922741999996,-6.970459402000003
2019-06-12 07:00:00,0.326367655,46.996942319999995,41.188251457,-5.808690862999995
2019-06-12 08:00:00,0.331881472,47.790931968,39.052606992,-8.738324976000001
2019-06-12 09:00:00,0.329916901,47.508033743999995,39.3663866,-8.141647143999997
2019-06-12 10:00:00,0.401389186,57.800042784,39.685563793,-18.114478991
2019-06-12 11:00:00,0.360922532,51.972844608,51.304765102999994,-0.6680795050000086
2019-06-12 12:00:00,0.313776178,45.183769632,32.9298384553,-12.2539311767
2019-06-12 13:00:00,0.280412868,40.379452992,30.100352430500003,-10.279100561499995
2019-06-12 14:00:00,0.246529187,35.500202928,39.244401179,3.7441982510000003
